Rank,Player
155,Joe Ross SP | WAS  $6 
156,Dexter Fowler CF | CHC  $6 
157,Cody Allen RP | CLE  $6 
158,David Robertson RP | CHW  $6 
159,Aroldis Chapman RP | NYY  $6 
160,Russell Martin C | TOR  $6 
161,* Matt Wieters C | BAL  $6 
162,* Ketel Marte SS | SEA  $5 
163,* DJ LeMahieu 2B | COL  $6 
164,* Byung Ho Park 1B | MIN  $5 
165,Hector Rondon RP | CHC  $5 
166,Huston Street RP | LAA  $5 
167,* Andrew Cashner SP | SD  $5 
168,* Aaron Nola SP | PHI  $5 
169,Scott Kazmir SP | LAD  $5 
170,Lucas Duda 1B | NYM  $5 
171,Addison Russell 2B | CHC  $6 
172,Devon Travis 2B | TOR  $6 
173,Ryan Zimmerman 1B | WAS  $5 
174,Gio Gonzalez SP | WAS  $5 
175,Jay Bruce RF | CIN  $5 
176,Josh Reddick RF | OAK  $5 
177,* Nick Hundley C | COL  $5 
178,Glen Perkins RP | MIN  $4 
179,Ian Desmond SS | TEX  $4 
180,Jose Reyes SS | COL  $4 
181,Brandon Belt 1B | SF  $4 
182,Ian Kennedy SP | KC  $4 
183,Kyle Hendricks SP | CHC  
184,Jaime Garcia SP | STL  $5 
185,Dustin Pedroia 2B | BOS  $4 
186,Wei-Yin Chen SP | MIA  $4 
187,Edinson Volquez SP | KC  $4 
188,Jake Odorizzi SP | TB  $5 
189,Jimmy Nelson SP | MIL  $4 
190,* Rick Porcello SP | BOS  $4 
191,* Matt Moore SP | TB  $5 
192,Neil Walker 2B | NYM  $4 
193,Brandon Phillips 2B | CIN  $4 
194,Jason Hammel SP | CHC  $1 
195,* Clay Buchholz SP | BOS  $4 
196,* Jake McGee RP | COL  $4 
197,Santiago Casilla RP | SF  $4 
198,Andrew Miller RP | NYY  $4 
199,Mike Fiers SP | HOU  $3 
200,* Vince Velasquez RP | PHI  $2 
201,Francisco Rodriguez RP | DET  $3 
202,* Justin Turner 3B | LAD  $3 
203,John Lackey SP | CHC  $3 
204,* Eduardo Rodriguez SP | BOS  $4 
205,Trevor Bauer SP | CLE  $3 
206,Daniel Murphy 2B | WAS  $3 
207,* Yan Gomes C | CLE  $3 
208,Alex Rodriguez DH | NYY  $3 
209,Victor Martinez DH | DET  $3 
210,Wil Myers CF | SD  $3 
211,Joc Pederson CF | LAD  $6 
212,* Chris Carter 1B | MIL  $2 
213,* David Peralta LF | ARI  $2 
214,Anibal Sanchez SP | DET  $2 
215,David Wright 3B | NYM  $2 
216,Billy Burns CF | OAK  $2 
217,* Jonathan Schoop 2B | BAL  $2 
218,* Delino DeShields CF | TEX  $2 
219,* Doug Fister SP | HOU  $2 
220,* Jonathan Papelbon RP | WAS  $1 
221,* Shawn Tolleson RP | TEX  $1 
222,* Tyler Duffey SP | MIN  $1 
223,* Kevin Gausman SP | BAL  $3 
224,* Tyler Glasnow SP | PIT  $2 
225,* Ervin Santana SP | MIN  $2 
226,* Marco Estrada SP | TOR  $2 
227,* Derek Holland SP | TEX  $1 
228,* Zack Wheeler SP | NYM  $1 
229,* Josh Harrison 3B | PIT  $1 
230,* A.J. Ramos RP | MIA  $1 
231,Drew Storen RP | TOR  
232,* Khris Davis LF | OAK  $1 
233,* Billy Hamilton CF | CIN  $1 
234,* Ben Revere CF | WAS  
235,* Kevin Pillar LF | TOR  
236,Matt Holliday LF | STL  $1 
237,* Ender Inciarte LF | ATL  $1 
238,* Starlin Castro SS | NYY  $1 
239,Marcus Semien SS | OAK  $1 
240,* Alcides Escobar SS | KC  $1 
241,Elvis Andrus SS | TEX  $1 
242,* Jean Segura SS | ARI  $1 
243,* Eugenio Suarez SS | CIN  
244,Mike Leake SP | STL  $1 
245,* Jerad Eickhoff SP | PHI  $1 
246,* Brad Ziegler RP | ARI  $1 
247,* David Hernandez RP | PHI  $1 
248,* Will Smith RP | MIL  
249,* Ben Paulsen 1B | COL  $1 
250,Kole Calhoun RF | LAA  $1 
251,* Mark Trumbo RF | BAL  
252,* C.J. Cron 1B | LAA  
253,* Pedro Alvarez 1B | BAL  
254,* Yangervis Solarte 3B | SD  
255,* Nathan Eovaldi SP | NYY  
256,* Sean Doolittle RP | OAK  
257,* Blake Swihart C | BOS  
258,* J.J. Hoover RP | CIN  
259,Dellin Betances RP | NYY  
260,Brad Boxberger RP | TB  $4 
261,* Roberto Osuna RP | TOR  
262,* Jose Berrios SP | MIN  
263,* Hyun-Jin Ryu SP | LAD  
264,* J.T. Realmuto C | MIA  
265,Logan Forsythe 2B | TB  
266,* Jon Gray SP | COL  
267,* Mitch Moreland 1B | TEX  
268,* Adam Lind 1B | SEA  
269,* Nick Castellanos 3B | DET  
270,* C.J. Wilson SP | LAA  
271,Miguel Montero C | CHC  
272,Yasmani Grandal C | LAD  $5 
273,Yadier Molina C | STL  
274,* Welington Castillo C | ARI  
275,Derek Norris C | SD  
276,Trevor Plouffe 3B | MIN  
277,* Steven Souza RF | TB  
278,Howie Kendrick 2B | LAD  
279,* Marcell Ozuna RF | MIA  
280,* Yasmany Tomas RF | ARI  
281,* Byron Buxton CF | MIN  
282,* Odubel Herrera CF | PHI  
283,Jorge Soler RF | CHC  
284,* Rusney Castillo RF | BOS  
285,* Enrique Hernandez CF | LAD  
