Rank,Player
155,* Patrick Corbin SP | ARI  $8 
156,Kyle Hendricks SP | CHC  $8 
157,Ian Desmond SS | TEX  $8 
158,Julio Teheran SP | ATL  $8 
159,Gregory Polanco RF | PIT  $8 
160,* Ketel Marte SS | SEA  $8 
161,Logan Forsythe 2B | TB  $8 
162,Asdrubal Cabrera SS | NYM  $8 
163,* Pedro Alvarez 1B | BAL  $8 
164,Devon Travis 2B | TOR  $8 
165,Alex Rodriguez DH | NYY  $7 
166,Evan Longoria 3B | TB  $7 
167,James Shields SP | SD  $7 
168,Lance McCullers SP | HOU  $7 
169,Denard Span CF | SF  $7 
170,Dustin Pedroia 2B | BOS  $7 
171,* Carlos Rodon SP | CHW  $6 
172,Raisel Iglesias SP | CIN  $6 
173,Jason Hammel SP | CHC  $6 
174,Jeff Samardzija SP | SF  $6 
175,* Hanley Ramirez LF | BOS  $6 
176,* Matt Moore SP | TB  $6 
177,* Blake Swihart C | BOS  $6 
178,* Ender Inciarte LF | ATL  $6 
179,* Welington Castillo C | ARI  $6 
180,* Kenta Maeda SP | LAD  $6 
181,* Ken Giles RP | HOU  $6 
182,* A.J. Ramos RP | MIA  $6 
183,Jaime Garcia SP | STL  $6 
184,Joc Pederson CF | LAD  $6 
185,Jay Bruce RF | CIN  $6 
186,Yasmani Grandal C | LAD  $5 
187,* Clay Buchholz SP | BOS  $5 
188,* Shawn Tolleson RP | TEX  $5 
189,* Yan Gomes C | CLE  $5 
190,Brandon Belt 1B | SF  $5 
191,Hector Rondon RP | CHC  $5 
192,Evan Gattis DH | HOU  $5 
193,* Nathan Eovaldi SP | NYY  $5 
194,* Sean Doolittle RP | OAK  $5 
195,* Carlos Beltran RF | NYY  $5 
196,Elvis Andrus SS | TEX  $4 
197,* Rick Porcello SP | BOS  $4 
198,Glen Perkins RP | MIN  $4 
199,* Joe Panik 2B | SF  $4 
200,* Ben Revere CF | WAS  $4 
201,* Michael Pineda SP | NYY  $4 
202,Gio Gonzalez SP | WAS  $4 
