Arya's Needlework Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,6/10-6/16,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Wieters, Matt(C) BAL ","Home: 7 (LAA,BOS)Away: 0 ",28,184,98%,91%,0.2352,59,22,79,2
1B,"Santana, Carlos(1B,C) CLE ",Home: 3 (WAS)Away: 3 (@TEX),19,118,99%,98%,0.2680,75,20,74,3
2B,"Descalso, Daniel(2B,3B,SS) STL ","Home: 0 Away: 6 (@NYM,@MIA)",536,368,8%,4%,0.2378,43,5,43,6
3B,"Headley, Chase(3B) SD ","Home: 6 (ATL,ARI)Away: 0 ",64,230,78%,53%,0.2500,59,13,50,8
SS,"Segura, Jean(SS) MIL ","Home: 0 Away: 6 (@MIA,@CIN)",138,28,94%,71%,0.2942,74,12,49,44
OF,"Davis, Chris(1B,OF) BAL ","Home: 7 (LAA,BOS)Away: 0 ",131,3,99%,98%,0.2860,103,53,138,4
OF,"Hamilton, Josh(OF) LAA ",Home: 3 (NYY)Away: 3 (@BAL),16,127,98%,89%,0.2500,73,21,79,4
OF,"Rios, Alex(OF) TEX ","Home: 7 (CLE,TOR)Away: 0 ",75,12,99%,96%,0.2776,83,18,81,42
DH,"Ortiz, David(1B) BOS ","Home: 0 Away: 7 (@TB,@BAL)",27,17,98%,92%,0.3089,84,30,103,4

Bench (3B),"Youkilis, Kevin(1B,3B) NYY ","Home: 0 Away: 6 (@OAK,@LAA)",236,835,20%,2%,0.2190,12,2,8,0
Bench (OF),"Braun, Ryan(OF) MIL ","Home: 0 Away: 6 (@MIA,@CIN)",1,325,45%,7%,0.2978,30,9,38,4
Bench (DH),"De Aza, Alejandro(OF) CHW ",Home: 2 (TOR)Away: 3 (@HOU),105,70,88%,72%,0.2636,84,17,62,20
Injured (2B),"Kinsler, Ian(2B) TEX ","Home: 7 (CLE,TOR)Away: 0 ",18,67,99%,97%,0.2771,85,13,72,15
Arya's Needlework Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,6/10-6/16,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Balfour, Grant(P) OAK ","Home: 6 (NYY,SEA)Away: 0 ",178,204,87%,76%,2.585,1.1968,1,72,38
P,"Kershaw, Clayton(P) LAD ",Home: 3 (ARI)Away: 3 (@PIT),4,5,97%,91%,1.831,0.9153,16,232,0
P,"Masterson, Justin(P) CLE ",Home: 3 (WAS)Away: 3 (@TEX),408,91,81%,36%,3.451,1.2021,14,195,0
P,"Papelbon, Jonathan(P) PHI ","Home: 0 Away: 6 (@MIN,@COL)",71,214,84%,68%,2.919,1.1351,5,57,29
P,"Perkins, Glen(P) MIN ","Home: 6 (PHI,DET)Away: 0 ",125,152,84%,73%,2.298,0.9255,2,77,36
P,"Romo, Sergio(P) SF ","Home: 0 Away: 6 (@PIT,@ATL)",142,155,87%,73%,2.536,1.0773,5,58,38
P,"Samardzija, Jeff(P) CHC ",Home: 4 (CIN)Away: 3 (@NYM),123,260,88%,57%,4.338,1.3479,8,214,0

Bench (P),"Cishek, Steve(P) MIA ","Home: 6 (MIL,STL)Away: 0 ",164,158,67%,56%,2.325,1.0766,4,74,34
Bench (P),"Santana, Ervin(P) KC ",Home: 3 (DET)Away: 4 (@TB),366,149,86%,58%,3.242,1.1422,9,161,0
Bench (P),"Straily, Dan(P) OAK ","Home: 6 (NYY,SEA)Away: 0 ",356,277,40%,18%,3.958,1.2407,10,124,0
"Active: 16, Reserve: 6, Injured: 1"

Beyond the Wall Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,6/10-6/16,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Lucroy, Jonathan(1B,C) MIL ","Home: 0 Away: 6 (@MIA,@CIN)",79,98,97%,91%,0.2802,59,18,82,9
1B,"Fielder, Prince(1B) DET ","Home: 0 Away: 6 (@KC,@MIN)",23,43,100%,99%,0.2788,82,25,106,1
2B,"Cano, Robinson(2B) NYY ","Home: 0 Away: 6 (@OAK,@LAA)",8,14,100%,99%,0.3140,81,27,107,7
3B,"Wright, David(3B) NYM ","Home: 6 (STL,CHC)Away: 0 ",40,73,96%,38%,0.3070,63,18,58,17
SS,"Rollins, Jimmy(SS) PHI ","Home: 0 Away: 6 (@MIN,@COL)",58,209,88%,72%,0.2517,65,6,39,22
OF,"Beltran, Carlos(OF) STL ","Home: 0 Away: 6 (@NYM,@MIA)",167,52,99%,89%,0.2960,79,24,84,2
OF,"Gordon, Alex(OF) KC ",Home: 3 (DET)Away: 4 (@TB),73,59,99%,93%,0.2654,90,20,81,11
OF,"Holliday, Matt(OF) STL ","Home: 0 Away: 6 (@NYM,@MIA)",74,23,99%,94%,0.3000,103,22,94,6
DH,"Gyorko, Jedd(2B,3B) SD ","Home: 6 (ATL,ARI)Away: 0 ",294,187,74%,55%,0.2490,62,23,63,1

Bench (1B),"Morneau, Justin(1B) PIT ","Home: 6 (SF,LAD)Away: 0 ",215,180,89%,70%,0.2587,62,17,77,0
Bench (2B),"Uggla, Dan(2B) ATL ",Home: 3 (SF)Away: 3 (@SD),115,314,64%,28%,0.1786,60,22,55,2
Bench (DH),"Willingham, Josh(OF) MIN ","Home: 6 (PHI,DET)Away: 0 ",134,398,45%,20%,0.2082,42,14,48,1
Injured (1B),"Hart, Corey(1B,OF) MIL ","Home: 0 Away: 6 (@MIA,@CIN)",206,1082,16%,1%,0.0000,0,0,0,0
Injured (OF),"Granderson, Curtis(OF) NYY ","Home: 0 Away: 6 (@OAK,@LAA)",129,497,95%,79%,0.2290,31,7,15,8
Beyond the Wall Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,6/10-6/16,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Bailey, Homer(P) CIN ",Home: 3 (MIL)Away: 4 (@CHC),171,95,94%,73%,3.488,1.1244,11,199,0
P,"Cain, Matt(P) SF ","Home: 0 Away: 6 (@PIT,@ATL)",37,222,92%,54%,4.004,1.1555,8,158,0
P,"Iwakuma, Hisashi(P) SEA ",Home: 3 (HOU)Away: 3 (@OAK),208,30,94%,70%,2.663,1.0061,14,185,0
P,"Johnson, Jim(P) BAL ","Home: 7 (LAA,BOS)Away: 0 ",163,150,90%,78%,2.943,1.2796,3,56,50
P,"Latos, Mat(P) CIN ",Home: 3 (MIL)Away: 4 (@CHC),94,82,95%,76%,3.161,1.2104,14,187,0
P,"Maholm, Paul(P) ATL ",Home: 3 (SF)Away: 3 (@SD),239,434,46%,16%,4.412,1.4118,10,105,0
P,"Reed, Addison(P) CHW ",Home: 2 (TOR)Away: 3 (@HOU),229,157,86%,69%,3.785,1.1075,5,72,40

Bench (P),"Gausman, Kevin(P) BAL ","Home: 7 (LAA,BOS)Away: 0 ",1105,756,12%,2%,5.664,1.3427,3,49,0
Bench (P),"Johnson, Josh(P) TOR ","Home: 0 Away: 6 (@CHW,@TEX)",108,1392,35%,6%,6.197,1.6598,2,83,0
Bench (P),"Niese, Jonathon(P) NYM ","Home: 6 (STL,CHC)Away: 0 ",172,424,62%,36%,3.713,1.4406,8,105,0
Injured (P),"Cueto, Johnny(P) CIN ",Home: 3 (MIL)Away: 4 (@CHC),83,432,81%,28%,2.819,1.0549,5,51,0
"Active: 16, Reserve: 6, Injured: 3"

Hodor Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,6/10-6/16,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Rosario, Wilin(C) COL ","Home: 6 (WAS,PHI)Away: 0 ",62,83,93%,79%,0.2918,63,21,79,4
1B,"Goldschmidt, Paul(1B) ARI ","Home: 0 Away: 6 (@LAD,@SD)",54,4,100%,99%,0.3023,103,36,125,15
2B,"Kendrick, Howie(2B) LAA ",Home: 3 (NYY)Away: 3 (@BAL),170,169,75%,33%,0.2971,55,13,54,6
3B,"Longoria, Evan(3B) TB ","Home: 7 (BOS,KC)Away: 0 ",33,44,100%,98%,0.2687,91,32,88,1
SS,"Zobrist, Ben(2B,OF,SS) TB ","Home: 7 (BOS,KC)Away: 0 ",59,107,99%,97%,0.2745,77,12,71,11
OF,"Aoki, Norichika(OF) MIL ","Home: 0 Away: 6 (@MIA,@CIN)",112,125,83%,65%,0.2864,80,8,37,20
OF,"Ellsbury, Jacoby(OF) BOS ","Home: 0 Away: 7 (@TB,@BAL)",45,11,92%,50%,0.2981,92,9,53,52
OF,"Heyward, Jason(OF) ATL ",Home: 3 (SF)Away: 3 (@SD),56,252,72%,30%,0.2539,67,14,38,2
DH,"Brown, Domonic(OF) PHI ","Home: 0 Away: 6 (@MIN,@COL)",291,64,92%,58%,0.2722,65,27,83,8

Bench (2B),"Profar, Jurickson(2B,3B,SS) TEX ","Home: 7 (CLE,TOR)Away: 0 ",458,544,51%,21%,0.2343,30,6,26,2
Bench (DH),"Martinez, Victor(1B) DET ","Home: 0 Away: 6 (@KC,@MIN)",61,100,94%,84%,0.3008,68,14,83,0
Hodor Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,6/10-6/16,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Bailey, Andrew(P) BOS ","Home: 0 Away: 7 (@TB,@BAL)",601,542,9%,2%,3.767,1.2209,3,39,8
P,"Fister, Doug(P) DET ","Home: 0 Away: 6 (@KC,@MIN)",159,188,91%,67%,3.666,1.3083,14,159,0
P,"Garza, Matt(P) TEX ","Home: 7 (CLE,TOR)Away: 0 ",162,247,87%,60%,3.824,1.2361,10,136,0
P,"Miller, Shelby(P) STL ","Home: 0 Away: 6 (@NYM,@MIA)",355,92,93%,65%,3.063,1.2058,15,169,0
P,"Mujica, Edward(P) STL ","Home: 0 Away: 6 (@NYM,@MIA)",490,206,82%,63%,2.784,1.0052,2,46,37
P,"Scherzer, Max(P) DET ","Home: 0 Away: 6 (@KC,@MIN)",67,6,96%,87%,2.897,0.9705,21,240,0
P,"Teheran, Julio(P) ATL ",Home: 3 (SF)Away: 3 (@SD),678,101,92%,67%,3.199,1.1741,14,170,0

Bench (P),"Kendrick, Kyle(P) PHI ","Home: 0 Away: 6 (@MIN,@COL)",431,485,48%,22%,4.698,1.3956,10,110,0
Bench (P),"Lincecum, Tim(P) SF ","Home: 0 Away: 6 (@PIT,@ATL)",264,242,83%,49%,4.371,1.3153,10,193,0
Bench (P),"Ryu, Hyun-Jin(P) LAD ",Home: 3 (ARI)Away: 3 (@PIT),328,117,94%,71%,3.000,1.2031,14,154,0
Bench (P),"Wheeler, Zack(P) NYM ","Home: 6 (STL,CHC)Away: 0 ",614,417,76%,37%,3.420,1.3600,7,84,0
Injured (P),"Beachy, Brandon(P) ATL ",Home: 3 (SF)Away: 3 (@SD),544,735,47%,6%,4.500,1.0333,2,23,0
Injured (P),"Beckett, Josh(P) LAD ",Home: 3 (ARI)Away: 3 (@PIT),342,1050,10%,1%,5.192,1.5000,0,41,0
Injured (P),"Betancourt, Rafael(P) COL ","Home: 6 (WAS,PHI)Away: 0 ",165,516,32%,7%,4.081,1.2907,2,27,16
Injured (P),"Luebke, Cory(P) SD ","Home: 6 (ATL,ARI)Away: 0 ",602,1151,4%,0%,0.000,0.0000,0,0,0
"Active: 16, Reserve: 6, Injured: 4"

House Beane: Ours is the Yard Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,6/10-6/16,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Arencibia, J.P.(C) TOR ","Home: 0 Away: 6 (@CHW,@TEX)",181,364,49%,32%,0.1941,45,21,55,0
1B,"LaRoche, Adam(1B) WAS ","Home: 0 Away: 6 (@COL,@CLE)",246,190,64%,43%,0.2368,70,20,62,4
2B,"Infante, Omar(2B) DET ","Home: 0 Away: 6 (@KC,@MIN)",311,171,62%,40%,0.3179,54,10,51,5
3B,"Donaldson, Josh(3B) OAK ","Home: 6 (NYY,SEA)Away: 0 ",310,27,98%,92%,0.3005,89,24,93,5
SS,"Gregorius, Didi(SS) ARI ","Home: 0 Away: 6 (@LAD,@SD)",692,423,14%,6%,0.2521,47,7,28,0
OF,"Bautista, Jose(OF) TOR ","Home: 0 Away: 6 (@CHW,@TEX)",30,65,80%,19%,0.2588,82,28,73,7
OF,"Gonzalez, Adrian(1B,OF) LAD ",Home: 3 (ARI)Away: 3 (@PIT),43,58,99%,94%,0.2933,69,22,100,1
OF,"Pence, Hunter(OF) SF ","Home: 0 Away: 6 (@PIT,@ATL)",184,9,99%,95%,0.2830,91,27,99,22
DH,"Beltre, Adrian(3B) TEX ","Home: 7 (CLE,TOR)Away: 0 ",46,19,100%,99%,0.3154,88,30,92,1

Bench (SS),"Cabrera, Asdrubal(SS) CLE ",Home: 3 (WAS)Away: 3 (@TEX),93,193,83%,67%,0.2421,66,14,64,9
Bench (DH),"Choo, Shin-Soo(OF) CIN ",Home: 3 (MIL)Away: 4 (@CHC),100,31,99%,91%,0.2847,107,21,54,20
Injured (2B),"Hill, Aaron(2B) ARI ","Home: 0 Away: 6 (@LAD,@SD)",91,287,90%,75%,0.2905,45,11,41,1
Injured (OF),"Kemp, Matt(OF) LAD ",Home: 3 (ARI)Away: 3 (@PIT),6,342,93%,31%,0.2700,35,6,33,9
Injured (DH),"Lawrie, Brett(2B,3B) TOR ","Home: 0 Away: 6 (@CHW,@TEX)",168,286,83%,65%,0.2544,41,11,46,9
House Beane: Ours is the Yard Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,6/10-6/16,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Gonzalez, Gio(P) WAS ","Home: 0 Away: 6 (@COL,@CLE)",66,143,96%,78%,3.358,1.2521,11,192,0
P,"Holland, Derek(P) TEX ","Home: 7 (CLE,TOR)Away: 0 ",267,170,91%,66%,3.422,1.2864,10,189,0
P,"Lynn, Lance(P) STL ","Home: 0 Away: 6 (@NYM,@MIA)",189,148,90%,60%,3.972,1.3140,15,198,0
P,"Milone, Tommy(P) OAK ","Home: 6 (NYY,SEA)Away: 0 ",191,266,33%,11%,4.145,1.2729,12,126,0
P,"Nathan, Joe(P) TEX ","Home: 7 (CLE,TOR)Away: 0 ",127,63,95%,89%,1.392,0.8969,6,73,43
P,"Sale, Chris(P) CHW ",Home: 2 (TOR)Away: 3 (@HOU),52,48,96%,84%,3.065,1.0731,11,226,0
P,"Weaver, Jered(P) LAA ",Home: 3 (NYY)Away: 3 (@BAL),47,202,94%,72%,3.266,1.1404,11,117,0

Bench (P),"Jimenez, Ubaldo(P) CLE ",Home: 3 (WAS)Away: 3 (@TEX),449,137,77%,57%,3.301,1.3303,13,194,0
Bench (P),"Parker, Jarrod(P) OAK ","Home: 6 (NYY,SEA)Away: 0 ",263,224,86%,60%,3.975,1.2234,12,134,0
Bench (P),"Street, Huston(P) SD ","Home: 6 (ATL,ARI)Away: 0 ",243,231,61%,49%,2.700,1.0235,2,46,33
Injured (P),"Morrow, Brandon(P) TOR ","Home: 0 Away: 6 (@CHW,@TEX)",158,977,22%,3%,5.632,1.4908,2,42,0
"Active: 16, Reserve: 5, Injured: 4"

Jon Snow's Celibacy Brigade Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,6/10-6/16,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Montero, Miguel(C) ARI ","Home: 0 Away: 6 (@LAD,@SD)",85,408,50%,30%,0.2300,44,11,42,0
1B,"Cuddyer, Michael(1B,OF) COL ","Home: 6 (WAS,PHI)Away: 0 ",233,32,98%,88%,0.3313,74,20,84,10
