Arya's Needlework Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,4/8-4/14,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Wieters, Matt(C) BAL ","Home: 0 Away: 6 (@BOS,@NYY)",28,184,98%,91%,0.2352,59,22,79,2
1B,"Santana, Carlos(1B,C) CLE ","Home: 5 (NYY,CHW)Away: 0 ",19,118,99%,98%,0.2680,75,20,74,3
2B,"Kinsler, Ian(2B) TEX ",Home: 3 (TB)Away: 4 (@SEA),18,67,99%,97%,0.2771,85,13,72,15
3B,"Youkilis, Kevin(1B,3B) NYY ",Home: 3 (BAL)Away: 2 (@CLE),236,835,20%,2%,0.2190,12,2,8,0
SS,"Rutledge, Josh(2B,SS) COL ","Home: 0 Away: 6 (@SF,@SD)",92,376,20%,8%,0.2351,45,7,19,12
OF,"Braun, Ryan(OF) MIL ","Home: 0 Away: 5 (@CHC,@STL)",1,325,45%,7%,0.2978,30,9,38,4
OF,"Hamilton, Josh(OF) LAA ","Home: 6 (OAK,HOU)Away: 0 ",16,127,98%,89%,0.2500,73,21,79,4
OF,"Rios, Alex(OF) TEX ",Home: 3 (TB)Away: 4 (@SEA),75,12,99%,96%,0.2776,83,18,81,42
DH,"Davis, Chris(1B,OF) BAL ","Home: 0 Away: 6 (@BOS,@NYY)",131,3,99%,98%,0.2860,103,53,138,4

Bench (C),"Pierzynski, A.J.(C) TEX ",Home: 3 (TB)Away: 4 (@SEA),109,197,83%,68%,0.2724,48,17,70,1
Bench (SS),"Segura, Jean(SS) MIL ","Home: 0 Away: 5 (@CHC,@STL)",138,28,94%,71%,0.2942,74,12,49,44
Bench (DH),"De Aza, Alejandro(OF) CHW ","Home: 0 Away: 6 (@WAS,@CLE)",105,70,88%,72%,0.2636,84,17,62,20
Bench (DH),"Martinez, Victor(1B) DET ",Home: 3 (TOR)Away: 3 (@OAK),61,100,94%,84%,0.3008,68,14,83,0
Injured (3B),"Headley, Chase(3B) SD ","Home: 6 (LAD,COL)Away: 0 ",64,230,78%,53%,0.2500,59,13,50,8
Injured (DH),"Ortiz, David(1B) BOS ","Home: 5 (BAL,TB)Away: 0 ",27,17,98%,92%,0.3089,84,30,103,4
Arya's Needlework Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,4/8-4/14,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Axford, John(P) STL ","Home: 6 (CIN,MIL)Away: 0 ",143,557,16%,9%,4.015,1.5231,7,65,0
P,"Balfour, Grant(P) OAK ",Home: 3 (DET)Away: 3 (@LAA),178,204,87%,76%,2.585,1.1968,1,72,38
P,"Kershaw, Clayton(P) LAD ","Home: 0 Away: 6 (@SD,@ARI)",4,5,97%,91%,1.831,0.9153,16,232,0
P,"Papelbon, Jonathan(P) PHI ",Home: 3 (NYM)Away: 3 (@MIA),71,214,84%,68%,2.919,1.1351,5,57,29
P,"Perkins, Glen(P) MIN ",Home: 2 (NYM)Away: 3 (@KC),125,152,84%,73%,2.298,0.9255,2,77,36
P,"Romo, Sergio(P) SF ",Home: 3 (COL)Away: 4 (@CHC),142,155,87%,73%,2.536,1.0773,5,58,38
P,"Samardzija, Jeff(P) CHC ","Home: 6 (MIL,SF)Away: 0 ",123,260,88%,57%,4.338,1.3479,8,214,0

Bench (P),"Cishek, Steve(P) MIA ","Home: 6 (ATL,PHI)Away: 0 ",164,158,67%,56%,2.325,1.0766,4,74,34
Bench (P),"Fiers, Mike(P) MIL ","Home: 0 Away: 5 (@CHC,@STL)",151,1372,6%,2%,7.254,1.5224,1,15,0
"Active: 16, Reserve: 6, Injured: 2"

Beyond the Wall Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,4/8-4/14,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Lucroy, Jonathan(1B,C) MIL ","Home: 0 Away: 5 (@CHC,@STL)",79,98,97%,91%,0.2802,59,18,82,9
1B,"Fielder, Prince(1B) DET ",Home: 3 (TOR)Away: 3 (@OAK),23,43,100%,99%,0.2788,82,25,106,1
2B,"Cano, Robinson(2B) NYY ",Home: 3 (BAL)Away: 2 (@CLE),8,14,100%,99%,0.3140,81,27,107,7
3B,"Wright, David(3B) NYM ","Home: 0 Away: 5 (@PHI,@MIN)",40,73,96%,38%,0.3070,63,18,58,17
SS,"Rollins, Jimmy(SS) PHI ",Home: 3 (NYM)Away: 3 (@MIA),58,209,88%,72%,0.2517,65,6,39,22
OF,"Gordon, Alex(OF) KC ","Home: 6 (MIN,TOR)Away: 0 ",73,59,99%,93%,0.2654,90,20,81,11
OF,"Holliday, Matt(OF) STL ","Home: 6 (CIN,MIL)Away: 0 ",74,23,99%,94%,0.3000,103,22,94,6
OF,"Willingham, Josh(OF) MIN ",Home: 2 (NYM)Away: 3 (@KC),134,398,45%,20%,0.2082,42,14,48,1
DH,"Beltran, Carlos(OF) STL ","Home: 6 (CIN,MIL)Away: 0 ",167,52,99%,89%,0.2960,79,24,84,2

Bench (1B),"Morneau, Justin(1B) PIT ",Home: 3 (CIN)Away: 3 (@ARI),215,180,89%,70%,0.2587,62,17,77,0
Bench (2B),"Uggla, Dan(2B) ATL ","Home: 0 Away: 6 (@MIA,@WAS)",115,314,64%,28%,0.1786,60,22,55,2
Bench (3B),"Moustakas, Mike(3B) KC ","Home: 6 (MIN,TOR)Away: 0 ",201,386,48%,27%,0.2331,42,12,42,2
Injured (1B),"Hart, Corey(1B,OF) MIL ","Home: 0 Away: 5 (@CHC,@STL)",206,1082,16%,1%,0.0000,0,0,0,0
Injured (DH),"Granderson, Curtis(OF) NYY ",Home: 3 (BAL)Away: 2 (@CLE),129,497,95%,79%,0.2290,31,7,15,8
Beyond the Wall Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,4/8-4/14,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Bailey, Homer(P) CIN ","Home: 0 Away: 6 (@STL,@PIT)",171,95,94%,73%,3.488,1.1244,11,199,0
P,"Cain, Matt(P) SF ",Home: 3 (COL)Away: 4 (@CHC),37,222,92%,54%,4.004,1.1555,8,158,0
P,"Cueto, Johnny(P) CIN ","Home: 0 Away: 6 (@STL,@PIT)",83,432,81%,28%,2.819,1.0549,5,51,0
P,"Johnson, Jim(P) BAL ","Home: 0 Away: 6 (@BOS,@NYY)",163,150,90%,78%,2.943,1.2796,3,56,50
P,"Johnson, Josh(P) TOR ","Home: 0 Away: 6 (@DET,@KC)",108,1392,35%,6%,6.197,1.6598,2,83,0
P,"Latos, Mat(P) CIN ","Home: 0 Away: 6 (@STL,@PIT)",94,82,95%,76%,3.161,1.2104,14,187,0
P,"Niese, Jonathon(P) NYM ","Home: 0 Away: 5 (@PHI,@MIN)",172,424,62%,36%,3.713,1.4406,8,105,0

Bench (P),"Fernandez, Jose(P) MIA ","Home: 6 (ATL,PHI)Away: 0 ",N/A,37,79%,42%,2.189,0.9788,12,187,0
Bench (P),"League, Brandon(P) LAD ","Home: 0 Away: 6 (@SD,@ARI)",245,564,15%,8%,5.301,1.5460,6,28,14
Bench (P),"Maholm, Paul(P) ATL ","Home: 0 Away: 6 (@MIA,@WAS)",239,434,46%,16%,4.412,1.4118,10,105,0
Injured (P),"Marcum, Shaun(P) NYM ","Home: 0 Away: 5 (@PHI,@MIN)",160,897,9%,2%,5.285,1.3532,1,60,0
"Active: 16, Reserve: 6, Injured: 3"

Hodor Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,4/8-4/14,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Rosario, Wilin(C) COL ","Home: 0 Away: 6 (@SF,@SD)",62,83,93%,79%,0.2918,63,21,79,4
1B,"Goldschmidt, Paul(1B) ARI ","Home: 6 (PIT,LAD)Away: 0 ",54,4,100%,99%,0.3023,103,36,125,15
2B,"Weeks, Rickie(2B) MIL ","Home: 0 Away: 5 (@CHC,@STL)",69,470,33%,10%,0.2086,40,10,24,7
3B,"Longoria, Evan(3B) TB ","Home: 0 Away: 5 (@TEX,@BOS)",33,44,100%,98%,0.2687,91,32,88,1
SS,"Zobrist, Ben(2B,OF,SS) TB ","Home: 0 Away: 5 (@TEX,@BOS)",59,107,99%,97%,0.2745,77,12,71,11
OF,"Aoki, Norichika(OF) MIL ","Home: 0 Away: 5 (@CHC,@STL)",112,125,83%,65%,0.2864,80,8,37,20
OF,"Ellsbury, Jacoby(OF) BOS ","Home: 5 (BAL,TB)Away: 0 ",45,11,92%,50%,0.2981,92,9,53,52
OF,"Heyward, Jason(OF) ATL ","Home: 0 Away: 6 (@MIA,@WAS)",56,252,72%,30%,0.2539,67,14,38,2
DH,"Davis, Ike(1B) NYM ","Home: 0 Away: 5 (@PHI,@MIN)",182,488,24%,7%,0.2050,37,9,33,4

Bench (3B),"Gyorko, Jedd(2B,3B) SD ","Home: 6 (LAD,COL)Away: 0 ",294,187,74%,55%,0.2490,62,23,63,1
Bench (OF),"Bradley, Jackie(OF) BOS ","Home: 5 (BAL,TB)Away: 0 ",578,726,11%,2%,0.1895,18,3,10,2
Hodor Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,4/8-4/14,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Beckett, Josh(P) LAD ","Home: 0 Away: 6 (@SD,@ARI)",342,1050,10%,1%,5.192,1.5000,0,41,0
P,"Betancourt, Rafael(P) COL ","Home: 0 Away: 6 (@SF,@SD)",165,516,32%,7%,4.081,1.2907,2,27,16
P,"Fister, Doug(P) DET ",Home: 3 (TOR)Away: 3 (@OAK),159,188,91%,67%,3.666,1.3083,14,159,0
P,"Garcia, Jaime(P) STL ","Home: 6 (CIN,MIL)Away: 0 ",207,579,16%,2%,3.578,1.3012,5,43,0
P,"Janssen, Casey(P) TOR ","Home: 0 Away: 6 (@DET,@KC)",197,196,72%,58%,2.563,0.9873,4,50,34
P,"Lincecum, Tim(P) SF ",Home: 3 (COL)Away: 4 (@CHC),264,242,83%,49%,4.371,1.3153,10,193,0
P,"Scherzer, Max(P) DET ",Home: 3 (TOR)Away: 3 (@OAK),67,6,96%,87%,2.897,0.9705,21,240,0

Bench (P),"Haren, Dan(P) WAS ","Home: 6 (CHW,ATL)Away: 0 ",141,284,71%,44%,4.668,1.2377,10,151,1
