Arya's Needlework Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,7/22-7/28,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
Injured (DH),"Gyorko, Jedd(2B,3B) SD ","Home: 0 Away: 7 (@MIL,@ARI)",294,187,74%,55%,0.2490,62,23,63,1
Beyond the Wall Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,7/22-7/28,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Bailey, Homer(P) CIN ","Home: 0 Away: 7 (@SF,@LAD)",171,95,94%,73%,3.488,1.1244,11,199,0
P,"Cain, Matt(P) SF ","Home: 6 (CIN,CHC)Away: 0 ",37,222,92%,54%,4.004,1.1555,8,158,0
P,"Iwakuma, Hisashi(P) SEA ","Home: 7 (CLE,MIN)Away: 0 ",208,30,94%,70%,2.663,1.0061,14,185,0
P,"Johnson, Jim(P) BAL ",Home: 3 (BOS)Away: 4 (@KC),163,150,90%,78%,2.943,1.2796,3,56,50
P,"Latos, Mat(P) CIN ","Home: 0 Away: 7 (@SF,@LAD)",94,82,95%,76%,3.161,1.2104,14,187,0
P,"Maholm, Paul(P) ATL ",Home: 3 (STL)Away: 4 (@NYM),239,434,46%,16%,4.412,1.4118,10,105,0
P,"Reed, Addison(P) CHW ","Home: 7 (DET,KC)Away: 0 ",229,157,86%,69%,3.785,1.1075,5,72,40

Bench (P),"Gallardo, Yovani(P) MIL ",Home: 4 (SD)Away: 3 (@COL),65,292,80%,41%,4.184,1.3616,12,144,0
Bench (P),"Johnson, Josh(P) TOR ","Home: 7 (LAD,HOU)Away: 0 ",108,1392,35%,6%,6.197,1.6598,2,83,0
Injured (P),"Cueto, Johnny(P) CIN ","Home: 0 Away: 7 (@SF,@LAD)",83,432,81%,28%,2.819,1.0549,5,51,0
Injured (P),"Niese, Jonathon(P) NYM ",Home: 4 (ATL)Away: 3 (@WAS),172,424,62%,36%,3.713,1.4406,8,105,0
"Active: 16, Reserve: 6, Injured: 4"

Hodor Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,7/22-7/28,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Rosario, Wilin(C) COL ","Home: 7 (MIA,MIL)Away: 0 ",62,83,93%,79%,0.2918,63,21,79,4
1B,"Goldschmidt, Paul(1B) ARI ","Home: 7 (CHC,SD)Away: 0 ",54,4,100%,99%,0.3023,103,36,125,15
2B,"Kendrick, Howie(2B) LAA ",Home: 3 (MIN)Away: 4 (@OAK),170,169,75%,33%,0.2971,55,13,54,6
3B,"Longoria, Evan(3B) TB ","Home: 0 Away: 6 (@BOS,@NYY)",33,44,100%,98%,0.2687,91,32,88,1
SS,"Zobrist, Ben(2B,OF,SS) TB ","Home: 0 Away: 6 (@BOS,@NYY)",59,107,99%,97%,0.2745,77,12,71,11
OF,"Cespedes, Yoenis(OF) OAK ",Home: 4 (LAA)Away: 3 (@HOU),38,104,97%,82%,0.2401,74,26,80,7
OF,"Ellsbury, Jacoby(OF) BOS ",Home: 3 (TB)Away: 3 (@BAL),45,11,92%,50%,0.2981,92,9,53,52
OF,"Heyward, Jason(OF) ATL ",Home: 3 (STL)Away: 4 (@NYM),56,252,72%,30%,0.2539,67,14,38,2
DH,"Brown, Domonic(OF) PHI ","Home: 0 Away: 6 (@STL,@DET)",291,64,92%,58%,0.2722,65,27,83,8

Bench (OF),"Aoki, Norichika(OF) MIL ",Home: 4 (SD)Away: 3 (@COL),112,125,83%,65%,0.2864,80,8,37,20
Bench (OF),"Myers, Wil(OF) TB ","Home: 0 Away: 6 (@BOS,@NYY)",222,208,96%,85%,0.2925,50,13,53,5
Injured (OF),"Upton, B.J.(OF) ATL ",Home: 3 (STL)Away: 4 (@NYM),114,560,43%,18%,0.1841,30,9,26,12
Hodor Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,7/22-7/28,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Fister, Doug(P) DET ",Home: 3 (PHI)Away: 4 (@CHW),159,188,91%,67%,3.666,1.3083,14,159,0
P,"Garza, Matt(P) TEX ",Home: 4 (NYY)Away: 3 (@CLE),162,247,87%,60%,3.824,1.2361,10,136,0
P,"Janssen, Casey(P) TOR ","Home: 7 (LAD,HOU)Away: 0 ",197,196,72%,58%,2.563,0.9873,4,50,34
P,"Miller, Shelby(P) STL ",Home: 3 (PHI)Away: 3 (@ATL),355,92,93%,65%,3.063,1.2058,15,169,0
P,"Mujica, Edward(P) STL ",Home: 3 (PHI)Away: 3 (@ATL),490,206,82%,63%,2.784,1.0052,2,46,37
P,"Scherzer, Max(P) DET ",Home: 3 (PHI)Away: 4 (@CHW),67,6,96%,87%,2.897,0.9705,21,240,0
P,"Uehara, Koji(P) BOS ",Home: 3 (TB)Away: 3 (@BAL),482,81,79%,70%,1.090,0.5650,4,101,21

Bench (P),"Kazmir, Scott(P) CLE ",Home: 3 (TEX)Away: 3 (@SEA),1131,255,52%,30%,4.044,1.3228,10,162,0
Bench (P),"Saunders, Joe(P) SEA ","Home: 7 (CLE,MIN)Away: 0 ",459,760,12%,5%,5.262,1.6011,11,107,0
Bench (P),"Teheran, Julio(P) ATL ",Home: 3 (STL)Away: 4 (@NYM),678,101,92%,67%,3.199,1.1741,14,170,0
Bench (P),"Wheeler, Zack(P) NYM ",Home: 4 (ATL)Away: 3 (@WAS),614,417,76%,37%,3.420,1.3600,7,84,0
Injured (P),"Beachy, Brandon(P) ATL ",Home: 3 (STL)Away: 4 (@NYM),544,735,47%,6%,4.500,1.0333,2,23,0
Injured (P),"Luebke, Cory(P) SD ","Home: 0 Away: 7 (@MIL,@ARI)",602,1151,4%,0%,0.000,0.0000,0,0,0
"Active: 16, Reserve: 6, Injured: 3"

House Beane: Ours is the Yard Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,7/22-7/28,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Arencibia, J.P.(C) TOR ","Home: 7 (LAD,HOU)Away: 0 ",181,364,49%,32%,0.1941,45,21,55,0
1B,"Gonzalez, Adrian(1B,OF) LAD ",Home: 4 (CIN)Away: 3 (@TOR),43,58,99%,94%,0.2933,69,22,100,1
2B,"Hill, Aaron(2B) ARI ","Home: 7 (CHC,SD)Away: 0 ",91,287,90%,75%,0.2905,45,11,41,1
3B,"Donaldson, Josh(3B) OAK ",Home: 4 (LAA)Away: 3 (@HOU),310,27,98%,92%,0.3005,89,24,93,5
SS,"Desmond, Ian(SS) WAS ","Home: 7 (PIT,NYM)Away: 0 ",34,38,99%,96%,0.2800,77,20,80,21
OF,"Bautista, Jose(OF) TOR ","Home: 7 (LAD,HOU)Away: 0 ",30,65,80%,19%,0.2588,82,28,73,7
OF,"Choo, Shin-Soo(OF) CIN ","Home: 0 Away: 7 (@SF,@LAD)",100,31,99%,91%,0.2847,107,21,54,20
OF,"Pence, Hunter(OF) SF ","Home: 6 (CIN,CHC)Away: 0 ",184,9,99%,95%,0.2830,91,27,99,22
DH,"Beltre, Adrian(3B) TEX ",Home: 4 (NYY)Away: 3 (@CLE),46,19,100%,99%,0.3154,88,30,92,1

Bench (1B),"LaRoche, Adam(1B) WAS ","Home: 7 (PIT,NYM)Away: 0 ",246,190,64%,43%,0.2368,70,20,62,4
Bench (SS),"Cabrera, Asdrubal(SS) CLE ",Home: 3 (TEX)Away: 3 (@SEA),93,193,83%,67%,0.2421,66,14,64,9
Bench (OF),"Kemp, Matt(OF) LAD ",Home: 4 (CIN)Away: 3 (@TOR),6,342,93%,31%,0.2700,35,6,33,9
Bench (DH),"Lawrie, Brett(2B,3B) TOR ","Home: 7 (LAD,HOU)Away: 0 ",168,286,83%,65%,0.2544,41,11,46,9
Injured (2B),"Infante, Omar(2B) DET ",Home: 3 (PHI)Away: 4 (@CHW),311,171,62%,40%,0.3179,54,10,51,5
House Beane: Ours is the Yard Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,7/22-7/28,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Gonzalez, Gio(P) WAS ","Home: 7 (PIT,NYM)Away: 0 ",66,143,96%,78%,3.358,1.2521,11,192,0
P,"Gonzalez, Miguel(P) BAL ",Home: 3 (BOS)Away: 4 (@KC),397,248,45%,21%,3.782,1.2257,11,120,0
P,"Holland, Derek(P) TEX ",Home: 4 (NYY)Away: 3 (@CLE),267,170,91%,66%,3.422,1.2864,10,189,0
P,"Lynn, Lance(P) STL ",Home: 3 (PHI)Away: 3 (@ATL),189,148,90%,60%,3.972,1.3140,15,198,0
P,"Nathan, Joe(P) TEX ",Home: 4 (NYY)Away: 3 (@CLE),127,63,95%,89%,1.392,0.8969,6,73,43
P,"Parker, Jarrod(P) OAK ",Home: 4 (LAA)Away: 3 (@HOU),263,224,86%,60%,3.975,1.2234,12,134,0
P,"Sale, Chris(P) CHW ","Home: 7 (DET,KC)Away: 0 ",52,48,96%,84%,3.065,1.0731,11,226,0

Bench (P),"Parnell, Bobby(P) NYM ",Home: 4 (ATL)Away: 3 (@WAS),412,250,43%,7%,2.160,1.0000,5,44,22
Bench (P),"Weaver, Jered(P) LAA ",Home: 3 (MIN)Away: 4 (@OAK),47,202,94%,72%,3.266,1.1404,11,117,0
Injured (P),"Morrow, Brandon(P) TOR ","Home: 7 (LAD,HOU)Away: 0 ",158,977,22%,3%,5.632,1.4908,2,42,0
"Active: 16, Reserve: 6, Injured: 2"

Jon Snow's Celibacy Brigade Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,7/22-7/28,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Montero, Miguel(C) ARI ","Home: 7 (CHC,SD)Away: 0 ",85,408,50%,30%,0.2300,44,11,42,0
1B,"Hosmer, Eric(1B) KC ",Home: 4 (BAL)Away: 3 (@CHW),154,41,98%,92%,0.3018,86,17,79,11
2B,"Kipnis, Jason(2B) CLE ",Home: 3 (TEX)Away: 3 (@SEA),63,21,99%,95%,0.2837,86,17,84,30
3B,"Scutaro, Marco(2B,3B,SS) SF ","Home: 6 (CIN,CHC)Away: 0 ",119,303,68%,39%,0.2971,57,2,31,2
SS,"Tulowitzki, Troy(SS) COL ","Home: 7 (MIA,MIL)Away: 0 ",9,57,99%,96%,0.3117,72,25,82,1
OF,"Cuddyer, Michael(1B,OF) COL ","Home: 7 (MIA,MIL)Away: 0 ",233,32,98%,88%,0.3313,74,20,84,10
OF,"Jones, Adam(OF) BAL ",Home: 3 (BOS)Away: 4 (@KC),44,8,100%,98%,0.2848,100,33,108,14
OF,"Stanton, Giancarlo(OF) MIA ",Home: 3 (PIT)Away: 4 (@COL),15,177,99%,90%,0.2494,62,24,62,1
DH,"Jennings, Desmond(OF) TB ","Home: 0 Away: 6 (@BOS,@NYY)",88,112,91%,58%,0.2524,82,14,54,20

Bench (3B),"Frazier, Todd(1B,3B) CIN ","Home: 0 Away: 7 (@SF,@LAD)",283,186,70%,50%,0.2335,63,19,73,6
Bench (SS),"Iglesias, Jose(3B,SS) DET ",Home: 3 (PHI)Away: 4 (@CHW),731,336,39%,18%,0.3029,39,3,29,5
Bench (OF),"Bourn, Michael(OF) CLE ",Home: 3 (TEX)Away: 3 (@SEA),82,134,81%,61%,0.2629,75,6,50,23
Bench (OF),"Swisher, Nick(1B,OF) CLE ",Home: 3 (TEX)Away: 3 (@SEA),231,167,79%,62%,0.2459,74,22,63,1
Bench (DH),"Dunn, Adam(1B) CHW ","Home: 7 (DET,KC)Away: 0 ",248,132,79%,58%,0.2190,60,34,86,1
Jon Snow's Celibacy Brigade Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,7/22-7/28,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Bumgarner, Madison(P) SF ","Home: 6 (CIN,CHC)Away: 0 ",53,39,95%,79%,2.772,1.0331,13,199,0
P,"Colon, Bartolo(P) OAK ",Home: 4 (LAA)Away: 3 (@HOU),336,75,86%,53%,2.648,1.1664,18,117,0
P,"Greinke, Zack(P) LAD ",Home: 4 (CIN)Away: 3 (@TOR),36,71,97%,87%,2.634,1.1144,15,148,0
P,"Grilli, Jason(P) PIT ","Home: 0 Away: 7 (@WAS,@MIA)",179,232,73%,28%,2.700,1.0600,0,74,33
P,"Lee, Cliff(P) PHI ","Home: 0 Away: 6 (@STL,@DET)",25,22,97%,86%,2.870,1.0105,14,222,0
P,"Wilhelmsen, Tom(P) SEA ","Home: 7 (CLE,MIN)Away: 0 ",116,447,30%,14%,4.119,1.3220,0,45,24
P,"Wilson, C.J.(P) LAA ",Home: 3 (MIN)Away: 4 (@OAK),140,113,95%,75%,3.391,1.3422,17,188,0

Bench (P),"Chen, Wei-Yin(P) BAL ",Home: 3 (BOS)Away: 4 (@KC),196,416,58%,32%,4.073,1.3212,7,104,0
Injured (P),"Cobb, Alex(P) TB ","Home: 0 Away: 6 (@BOS,@NYY)",212,159,90%,59%,2.763,1.1512,11,134,0
Injured (P),"Ogando, Alexi(P) TEX ",Home: 4 (NYY)Away: 3 (@CLE),173,369,49%,19%,3.105,1.2268,7,72,0
"Active: 16, Reserve: 6, Injured: 2"

Little Finger Big Bat Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,7/22-7/28,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Mauer, Joe(1B,C) MIN ","Home: 0 Away: 7 (@LAA,@SEA)",20,179,93%,33%,0.3236,62,11,47,0
1B,"Pujols, Albert(1B) LAA ",Home: 3 (MIN)Away: 4 (@OAK),7,218,66%,9%,0.2583,49,17,64,1
2B,"Seager, Kyle(2B,3B) SEA ","Home: 7 (CLE,MIN)Away: 0 ",232,87,97%,85%,0.2602,79,22,69,9
3B,"Zimmerman, Ryan(3B) WAS ","Home: 7 (PIT,NYM)Away: 0 ",77,55,99%,94%,0.2746,84,26,79,6
SS,"Lowrie, Jed(2B,SS) OAK ",Home: 4 (LAA)Away: 3 (@HOU),353,99,93%,78%,0.2902,80,15,75,1
OF,"Carpenter, Matt(1B,2B,3B,OF) STL ",Home: 3 (PHI)Away: 3 (@ATL),297,24,98%,97%,0.3179,126,11,78,3
OF,"Gonzalez, Carlos(OF) COL ","Home: 7 (MIA,MIL)Away: 0 ",22,33,85%,20%,0.3018,72,26,70,21
OF,"Upton, Justin(OF) ATL ",Home: 3 (STL)Away: 4 (@NYM),39,56,99%,92%,0.2634,94,27,70,8
DH,"Freeman, Freddie(1B) ATL ",Home: 3 (STL)Away: 4 (@NYM),89,20,99%,97%,0.3194,89,23,109,1

Bench (OF),"Hunter, Torii(OF) DET ",Home: 3 (PHI)Away: 4 (@CHW),219,49,96%,86%,0.3036,90,17,84,3
Bench (OF),"McLouth, Nate(OF) BAL ",Home: 3 (BOS)Away: 4 (@KC),332,114,81%,55%,0.2580,76,12,36,30
Little Finger Big Bat Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,7/22-7/28,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Griffin, A.J.(P) OAK ",Home: 4 (LAA)Away: 3 (@HOU),192,119,89%,67%,3.825,1.1250,14,171,0
P,"Harvey, Matt(P) NYM ",Home: 4 (ATL)Away: 3 (@WAS),361,42,69%,17%,2.271,0.9308,9,191,0
P,"Lackey, John(P) BOS ",Home: 3 (TB)Away: 3 (@BAL),477,164,82%,51%,3.518,1.1567,10,161,0
P,"Lester, Jon(P) BOS ",Home: 3 (TB)Away: 3 (@BAL),228,153,94%,73%,3.755,1.2937,15,177,0
P,"Liriano, Francisco(P) PIT ","Home: 0 Away: 7 (@WAS,@MIA)",439,97,93%,75%,3.019,1.2236,16,163,0
P,"Peavy, Jake(P) BOS ",Home: 3 (TB)Away: 3 (@BAL),101,229,91%,58%,4.168,1.1475,12,121,0
P,"Shields, James(P) KC ",Home: 4 (BAL)Away: 3 (@CHW),60,85,96%,82%,3.149,1.2376,13,196,0

Bench (P),"Dickey, R.A.(P) TOR ","Home: 7 (LAD,HOU)Away: 0 ",49,172,91%,67%,4.206,1.2374,14,177,0
Bench (P),"Hefner, Jeremy(P) NYM ",Home: 4 (ATL)Away: 3 (@WAS),1028,525,12%,2%,4.339,1.2934,4,99,0
Bench (P),"Hellickson, Jeremy(P) TB ","Home: 0 Away: 6 (@BOS,@NYY)",227,384,58%,29%,5.172,1.3506,12,135,0
Bench (P),"Holland, Greg(P) KC ",Home: 4 (BAL)Away: 3 (@CHW),150,54,93%,88%,1.209,0.8657,2,103,47
Injured (P),"Carpenter, Chris(P) STL ",Home: 3 (PHI)Away: 3 (@ATL),1482,1151,12%,0%,0.000,0.0000,0,0,0
Injured (P),"Madson, Ryan(P) LAA ",Home: 3 (MIN)Away: 4 (@OAK),244,1151,11%,1%,0.000,0.0000,0,0,0
"Active: 16, Reserve: 6, Injured: 2"

Terran Scientists Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,7/22-7/28,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Molina, Yadier(1B,C) STL ",Home: 3 (PHI)Away: 3 (@ATL),32,80,99%,91%,0.3188,68,12,80,3
1B,"Napoli, Mike(1B,C) BOS ",Home: 3 (TB)Away: 3 (@BAL),50,78,98%,88%,0.2590,79,23,92,1
2B,"Phillips, Brandon(2B) CIN ","Home: 0 Away: 7 (@SF,@LAD)",78,69,99%,95%,0.2607,80,18,103,5
3B,"Cabrera, Miguel(3B) DET ",Home: 3 (PHI)Away: 4 (@CHW),2,1,99%,89%,0.3477,103,44,137,3
SS,"Andrus, Elvis(SS) TEX ",Home: 4 (NYY)Away: 3 (@CLE),68,35,98%,89%,0.2710,91,4,67,42
OF,"Cruz, Nelson(OF) TEX ",Home: 4 (NYY)Away: 3 (@CLE),132,126,45%,13%,0.2663,49,27,76,5
OF,"Fowler, Dexter(OF) COL ","Home: 7 (MIA,MIL)Away: 0 ",185,151,79%,36%,0.2627,71,12,42,19
OF,"Markakis, Nick(OF) BAL ",Home: 3 (BOS)Away: 4 (@KC),113,162,91%,73%,0.2713,89,10,59,1
DH,"Murphy, Daniel(1B,2B) NYM ",Home: 4 (ATL)Away: 3 (@WAS),136,34,97%,88%,0.2857,92,13,78,23

Bench (C),"McCann, Brian(C) ATL ",Home: 3 (STL)Away: 4 (@NYM),128,240,94%,80%,0.2556,43,20,57,0
Bench (OF),"Cabrera, Melky(OF) TOR ","Home: 7 (LAD,HOU)Away: 0 ",81,411,47%,7%,0.2791,39,3,30,2
Bench (OF),"Victorino, Shane(OF) BOS ",Home: 3 (TB)Away: 3 (@BAL),90,53,95%,80%,0.2935,82,15,61,21
Bench (DH),"Aybar, Erick(SS) LAA ",Home: 3 (MIN)Away: 4 (@OAK),121,189,65%,50%,0.2709,68,6,54,12
Injured (OF),"Pagan, Angel(OF) SF ","Home: 6 (CIN,CHC)Away: 0 ",153,316,41%,22%,0.2821,44,5,30,9
Injured (DH),"Teixeira, Mark(1B) NYY ",Home: 3 (TB)Away: 4 (@TEX),107,871,31%,2%,0.1509,5,3,12,0
Terran Scientists Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,7/22-7/28,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Hernandez, Felix(P) SEA ","Home: 7 (CLE,MIN)Away: 0 ",35,61,95%,68%,3.039,1.1305,12,216,0
P,"Kuroda, Hiroki(P) NYY ",Home: 3 (TB)Away: 4 (@TEX),149,154,92%,64%,3.308,1.1623,11,150,0
P,"Leake, Mike(P) CIN ","Home: 0 Away: 7 (@SF,@LAD)",381,192,79%,48%,3.369,1.2530,14,122,0
P,"Lohse, Kyle(P) MIL ",Home: 4 (SD)Away: 3 (@COL),214,191,71%,38%,3.352,1.1678,11,125,0
