Arya's Needlework Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,3/31-4/7,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Wieters, Matt(C) BAL ",Home: 3 (MIN)Away: 3 (@TB),28,184,98%,91%,0.2352,59,22,79,2
1B,"Santana, Carlos(1B,C) CLE ","Home: 0 Away: 6 (@TOR,@TB)",19,118,99%,98%,0.2680,75,20,74,3
2B,"Kinsler, Ian(2B) TEX ",Home: 3 (LAA)Away: 3 (@HOU),18,67,99%,97%,0.2771,85,13,72,15
3B,"Headley, Chase(3B) SD ","Home: 0 Away: 6 (@NYM,@COL)",64,230,78%,53%,0.2500,59,13,50,8
SS,"Rutledge, Josh(2B,SS) COL ",Home: 3 (SD)Away: 3 (@MIL),92,376,20%,8%,0.2351,45,7,19,12
OF,"Braun, Ryan(OF) MIL ","Home: 6 (COL,ARI)Away: 0 ",1,325,45%,7%,0.2978,30,9,38,4
OF,"Hamilton, Josh(OF) LAA ","Home: 0 Away: 6 (@CIN,@TEX)",16,127,98%,89%,0.2500,73,21,79,4
OF,"Rios, Alex(OF) TEX ",Home: 3 (LAA)Away: 3 (@HOU),75,12,99%,96%,0.2776,83,18,81,42
DH,"Ortiz, David(1B) BOS ","Home: 0 Away: 6 (@NYY,@TOR)",27,17,98%,92%,0.3089,84,30,103,4

Bench (C),"Pierzynski, A.J.(C) TEX ",Home: 3 (LAA)Away: 3 (@HOU),109,197,83%,68%,0.2724,48,17,70,1
Bench (1B),"Davis, Chris(1B,OF) BAL ",Home: 3 (MIN)Away: 3 (@TB),131,3,99%,98%,0.2860,103,53,138,4
Bench (DH),"De Aza, Alejandro(OF) CHW ","Home: 6 (KC,SEA)Away: 0 ",105,70,88%,72%,0.2636,84,17,62,20
Bench (DH),"Martinez, Victor(1B) DET ",Home: 3 (NYY)Away: 3 (@MIN),61,100,94%,84%,0.3008,68,14,83,0
Arya's Needlework Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,3/31-4/7,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Axford, John(P) STL ","Home: 0 Away: 6 (@ARI,@SF)",143,557,16%,9%,4.015,1.5231,7,65,0
P,"Fiers, Mike(P) MIL ","Home: 6 (COL,ARI)Away: 0 ",151,1372,6%,2%,7.254,1.5224,1,15,0
P,"Kershaw, Clayton(P) LAD ","Home: 6 (SF,PIT)Away: 0 ",4,5,97%,91%,1.831,0.9153,16,232,0
P,"Papelbon, Jonathan(P) PHI ",Home: 3 (KC)Away: 3 (@ATL),71,214,84%,68%,2.919,1.1351,5,57,29
P,"Perkins, Glen(P) MIN ",Home: 3 (DET)Away: 3 (@BAL),125,152,84%,73%,2.298,0.9255,2,77,36
P,"Romo, Sergio(P) SF ",Home: 3 (STL)Away: 3 (@LAD),142,155,87%,73%,2.536,1.0773,5,58,38
P,"Samardzija, Jeff(P) CHC ","Home: 0 Away: 6 (@PIT,@ATL)",123,260,88%,57%,4.338,1.3479,8,214,0

Bench (P),"Balfour, Grant(P) OAK ",Home: 4 (SEA)Away: 3 (@HOU),178,204,87%,76%,2.585,1.1968,1,72,38
Bench (P),"Cishek, Steve(P) MIA ","Home: 0 Away: 6 (@WAS,@NYM)",164,158,67%,56%,2.325,1.0766,4,74,34
"Active: 16, Reserve: 6"

Beyond the Wall Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,3/31-4/7,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Lucroy, Jonathan(1B,C) MIL ","Home: 6 (COL,ARI)Away: 0 ",79,98,97%,91%,0.2802,59,18,82,9
1B,"Fielder, Prince(1B) DET ",Home: 3 (NYY)Away: 3 (@MIN),23,43,100%,99%,0.2788,82,25,106,1
2B,"Cano, Robinson(2B) NYY ",Home: 3 (BOS)Away: 3 (@DET),8,14,100%,99%,0.3140,81,27,107,7
3B,"Wright, David(3B) NYM ","Home: 6 (SD,MIA)Away: 0 ",40,73,96%,38%,0.3070,63,18,58,17
SS,"Rollins, Jimmy(SS) PHI ",Home: 3 (KC)Away: 3 (@ATL),58,209,88%,72%,0.2517,65,6,39,22
OF,"Gordon, Alex(OF) KC ","Home: 0 Away: 6 (@CHW,@PHI)",73,59,99%,93%,0.2654,90,20,81,11
OF,"Holliday, Matt(OF) STL ","Home: 0 Away: 6 (@ARI,@SF)",74,23,99%,94%,0.3000,103,22,94,6
OF,"Willingham, Josh(OF) MIN ",Home: 3 (DET)Away: 3 (@BAL),134,398,45%,20%,0.2082,42,14,48,1
DH,"Beltran, Carlos(OF) STL ","Home: 0 Away: 6 (@ARI,@SF)",167,52,99%,89%,0.2960,79,24,84,2

Bench (2B),"Uggla, Dan(2B) ATL ","Home: 6 (PHI,CHC)Away: 0 ",115,314,64%,28%,0.1786,60,22,55,2
Bench (3B),"Moustakas, Mike(3B) KC ","Home: 0 Away: 6 (@CHW,@PHI)",201,386,48%,27%,0.2331,42,12,42,2
Bench (DH),"Granderson, Curtis(OF) NYY ",Home: 3 (BOS)Away: 3 (@DET),129,497,95%,79%,0.2290,31,7,15,8
Injured (1B),"Hart, Corey(1B,OF) MIL ","Home: 6 (COL,ARI)Away: 0 ",206,1082,16%,1%,0.0000,0,0,0,0
Beyond the Wall Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,3/31-4/7,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Bailey, Homer(P) CIN ","Home: 6 (LAA,WAS)Away: 0 ",171,95,94%,73%,3.488,1.1244,11,199,0
P,"Cain, Matt(P) SF ",Home: 3 (STL)Away: 3 (@LAD),37,222,92%,54%,4.004,1.1555,8,158,0
P,"Cueto, Johnny(P) CIN ","Home: 6 (LAA,WAS)Away: 0 ",83,432,81%,28%,2.819,1.0549,5,51,0
P,"Johnson, Jim(P) BAL ",Home: 3 (MIN)Away: 3 (@TB),163,150,90%,78%,2.943,1.2796,3,56,50
P,"Johnson, Josh(P) TOR ","Home: 6 (CLE,BOS)Away: 0 ",108,1392,35%,6%,6.197,1.6598,2,83,0
P,"Latos, Mat(P) CIN ","Home: 6 (LAA,WAS)Away: 0 ",94,82,95%,76%,3.161,1.2104,14,187,0
P,"Niese, Jonathon(P) NYM ","Home: 6 (SD,MIA)Away: 0 ",172,424,62%,36%,3.713,1.4406,8,105,0

Bench (P),"League, Brandon(P) LAD ","Home: 6 (SF,PIT)Away: 0 ",245,564,15%,8%,5.301,1.5460,6,28,14
Bench (P),"Maholm, Paul(P) ATL ","Home: 6 (PHI,CHC)Away: 0 ",239,434,46%,16%,4.412,1.4118,10,105,0
Bench (P),"Marcum, Shaun(P) NYM ","Home: 6 (SD,MIA)Away: 0 ",160,897,9%,2%,5.285,1.3532,1,60,0
"Active: 16, Reserve: 6, Injured: 1"

Hodor Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,3/31-4/7,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Rosario, Wilin(C) COL ",Home: 3 (SD)Away: 3 (@MIL),62,83,93%,79%,0.2918,63,21,79,4
1B,"Goldschmidt, Paul(1B) ARI ",Home: 3 (STL)Away: 3 (@MIL),54,4,100%,99%,0.3023,103,36,125,15
2B,"Weeks, Rickie(2B) MIL ","Home: 6 (COL,ARI)Away: 0 ",69,470,33%,10%,0.2086,40,10,24,7
3B,"Longoria, Evan(3B) TB ","Home: 6 (BAL,CLE)Away: 0 ",33,44,100%,98%,0.2687,91,32,88,1
SS,"Zobrist, Ben(2B,OF,SS) TB ","Home: 6 (BAL,CLE)Away: 0 ",59,107,99%,97%,0.2745,77,12,71,11
OF,"Aoki, Norichika(OF) MIL ","Home: 6 (COL,ARI)Away: 0 ",112,125,83%,65%,0.2864,80,8,37,20
OF,"Ellsbury, Jacoby(OF) BOS ","Home: 0 Away: 6 (@NYY,@TOR)",45,11,92%,50%,0.2981,92,9,53,52
OF,"Heyward, Jason(OF) ATL ","Home: 6 (PHI,CHC)Away: 0 ",56,252,72%,30%,0.2539,67,14,38,2
DH,"Davis, Ike(1B) NYM ","Home: 6 (SD,MIA)Away: 0 ",182,488,24%,7%,0.2050,37,9,33,4

Bench (1B),"Belt, Brandon(1B) SF ",Home: 3 (STL)Away: 3 (@LAD),286,103,79%,62%,0.2888,76,17,67,5
Bench (OF),"Bradley, Jackie(OF) BOS ","Home: 0 Away: 6 (@NYY,@TOR)",578,726,11%,2%,0.1895,18,3,10,2
Hodor Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,3/31-4/7,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Betancourt, Rafael(P) COL ",Home: 3 (SD)Away: 3 (@MIL),165,516,32%,7%,4.081,1.2907,2,27,16
P,"Fister, Doug(P) DET ",Home: 3 (NYY)Away: 3 (@MIN),159,188,91%,67%,3.666,1.3083,14,159,0
P,"Garcia, Jaime(P) STL ","Home: 0 Away: 6 (@ARI,@SF)",207,579,16%,2%,3.578,1.3012,5,43,0
P,"Haren, Dan(P) WAS ",Home: 3 (MIA)Away: 3 (@CIN),141,284,71%,44%,4.668,1.2377,10,151,1
P,"Lincecum, Tim(P) SF ",Home: 3 (STL)Away: 3 (@LAD),264,242,83%,49%,4.371,1.3153,10,193,0
P,"Scherzer, Max(P) DET ",Home: 3 (NYY)Away: 3 (@MIN),67,6,96%,87%,2.897,0.9705,21,240,0
P,"Teheran, Julio(P) ATL ","Home: 6 (PHI,CHC)Away: 0 ",678,101,92%,67%,3.199,1.1741,14,170,0

Bench (P),"Beckett, Josh(P) LAD ","Home: 6 (SF,PIT)Away: 0 ",342,1050,10%,1%,5.192,1.5000,0,41,0
Bench (P),"Garza, Matt(P) TEX ",Home: 3 (LAA)Away: 3 (@HOU),162,247,87%,60%,3.824,1.2361,10,136,0
Bench (P),"Jackson, Edwin(P) CHC ","Home: 0 Away: 6 (@PIT,@ATL)",339,562,26%,12%,4.979,1.4601,8,135,0
Bench (P),"McCarthy, Brandon(P) ARI ",Home: 3 (STL)Away: 3 (@MIL),240,630,35%,21%,4.533,1.3481,5,76,0
Injured (P),"Beachy, Brandon(P) ATL ","Home: 6 (PHI,CHC)Away: 0 ",544,735,47%,6%,4.500,1.0333,2,23,0
Injured (P),"Luebke, Cory(P) SD ","Home: 0 Away: 6 (@NYM,@COL)",602,1151,4%,0%,0.000,0.0000,0,0,0
"Active: 16, Reserve: 6, Injured: 2"

House Beane: Ours is the Yard Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,3/31-4/7,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Avila, Alex(C) DET ",Home: 3 (NYY)Away: 3 (@MIN),117,392,27%,16%,0.2273,39,11,47,0
1B,"Gonzalez, Adrian(1B,OF) LAD ","Home: 6 (SF,PIT)Away: 0 ",43,58,99%,94%,0.2933,69,22,100,1
2B,"Hill, Aaron(2B) ARI ",Home: 3 (STL)Away: 3 (@MIL),91,287,90%,75%,0.2905,45,11,41,1
