Arya's Needlework Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,9/16-9/22,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Wieters, Matt(C) BAL ","Home: 0 Away: 6 (@BOS,@TB)",28,184,98%,91%,0.2352,59,22,79,2
1B,"Santana, Carlos(1B,C) CLE ",Home: 4 (HOU)Away: 3 (@KC),19,118,99%,98%,0.2680,75,20,74,3
2B,"Kinsler, Ian(2B) TEX ","Home: 0 Away: 7 (@TB,@KC)",18,67,99%,97%,0.2771,85,13,72,15
3B,"Headley, Chase(3B) SD ",Home: 3 (LAD)Away: 4 (@PIT),64,230,78%,53%,0.2500,59,13,50,8
SS,"Segura, Jean(SS) MIL ","Home: 7 (CHC,STL)Away: 0 ",138,28,94%,71%,0.2942,74,12,49,44
OF,"Davis, Chris(1B,OF) BAL ","Home: 0 Away: 6 (@BOS,@TB)",131,3,99%,98%,0.2860,103,53,138,4
OF,"Hamilton, Josh(OF) LAA ",Home: 3 (SEA)Away: 3 (@OAK),16,127,98%,89%,0.2500,73,21,79,4
OF,"Rios, Alex(OF) TEX ","Home: 0 Away: 7 (@TB,@KC)",75,12,99%,96%,0.2776,83,18,81,42
DH,"Ortiz, David(1B) BOS ","Home: 6 (BAL,TOR)Away: 0 ",27,17,98%,92%,0.3089,84,30,103,4

Bench (3B),"Youkilis, Kevin(1B,3B) NYY ",Home: 3 (SF)Away: 3 (@TOR),236,835,20%,2%,0.2190,12,2,8,0
Bench (OF),"Braun, Ryan(OF) MIL ","Home: 7 (CHC,STL)Away: 0 ",1,325,45%,7%,0.2978,30,9,38,4
Bench (DH),"De Aza, Alejandro(OF) CHW ",Home: 3 (MIN)Away: 3 (@DET),105,70,88%,72%,0.2636,84,17,62,20
Arya's Needlework Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,9/16-9/22,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Balfour, Grant(P) OAK ","Home: 7 (LAA,MIN)Away: 0 ",178,204,87%,76%,2.585,1.1968,1,72,38
P,"Kershaw, Clayton(P) LAD ","Home: 0 Away: 7 (@ARI,@SD)",4,5,97%,91%,1.831,0.9153,16,232,0
P,"Masterson, Justin(P) CLE ",Home: 4 (HOU)Away: 3 (@KC),408,91,81%,36%,3.451,1.2021,14,195,0
P,"Papelbon, Jonathan(P) PHI ","Home: 6 (MIA,NYM)Away: 0 ",71,214,84%,68%,2.919,1.1351,5,57,29
P,"Perkins, Glen(P) MIN ","Home: 0 Away: 7 (@CHW,@OAK)",125,152,84%,73%,2.298,0.9255,2,77,36
P,"Romo, Sergio(P) SF ","Home: 0 Away: 6 (@NYM,@NYY)",142,155,87%,73%,2.536,1.0773,5,58,38
P,"Samardzija, Jeff(P) CHC ",Home: 3 (ATL)Away: 4 (@MIL),123,260,88%,57%,4.338,1.3479,8,214,0

Bench (P),"Cishek, Steve(P) MIA ","Home: 0 Away: 6 (@PHI,@WAS)",164,158,67%,56%,2.325,1.0766,4,74,34
Bench (P),"Santana, Ervin(P) KC ","Home: 6 (CLE,TEX)Away: 0 ",366,149,86%,58%,3.242,1.1422,9,161,0
Bench (P),"Straily, Dan(P) OAK ","Home: 7 (LAA,MIN)Away: 0 ",356,277,40%,18%,3.958,1.2407,10,124,0
"Active: 16, Reserve: 6"

Beyond the Wall Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,9/16-9/22,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Lucroy, Jonathan(1B,C) MIL ","Home: 7 (CHC,STL)Away: 0 ",79,98,97%,91%,0.2802,59,18,82,9
1B,"Fielder, Prince(1B) DET ","Home: 7 (SEA,CHW)Away: 0 ",23,43,100%,99%,0.2788,82,25,106,1
2B,"Cano, Robinson(2B) NYY ",Home: 3 (SF)Away: 3 (@TOR),8,14,100%,99%,0.3140,81,27,107,7
3B,"Gyorko, Jedd(2B,3B) SD ",Home: 3 (LAD)Away: 4 (@PIT),294,187,74%,55%,0.2490,62,23,63,1
SS,"Rollins, Jimmy(SS) PHI ","Home: 6 (MIA,NYM)Away: 0 ",58,209,88%,72%,0.2517,65,6,39,22
OF,"Beltran, Carlos(OF) STL ","Home: 0 Away: 7 (@COL,@MIL)",167,52,99%,89%,0.2960,79,24,84,2
OF,"Gordon, Alex(OF) KC ","Home: 6 (CLE,TEX)Away: 0 ",73,59,99%,93%,0.2654,90,20,81,11
OF,"Granderson, Curtis(OF) NYY ",Home: 3 (SF)Away: 3 (@TOR),129,497,95%,79%,0.2290,31,7,15,8
DH,"Holliday, Matt(OF) STL ","Home: 0 Away: 7 (@COL,@MIL)",74,23,99%,94%,0.3000,103,22,94,6

Bench (OF),"Gardner, Brett(OF) NYY ",Home: 3 (SF)Away: 3 (@TOR),183,94,74%,42%,0.2727,81,8,52,24
Bench (DH),"Lind, Adam(1B) TOR ",Home: 3 (NYY)Away: 3 (@BOS),306,115,59%,42%,0.2882,67,23,67,1
Bench (DH),"Morneau, Justin(1B) PIT ","Home: 7 (SD,CIN)Away: 0 ",215,180,89%,70%,0.2587,62,17,77,0
Injured (3B),"Wright, David(3B) NYM ",Home: 3 (SF)Away: 3 (@PHI),40,73,96%,38%,0.3070,63,18,58,17
Beyond the Wall Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,9/16-9/22,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Bailey, Homer(P) CIN ","Home: 0 Away: 6 (@HOU,@PIT)",171,95,94%,73%,3.488,1.1244,11,199,0
P,"Cain, Matt(P) SF ","Home: 0 Away: 6 (@NYM,@NYY)",37,222,92%,54%,4.004,1.1555,8,158,0
P,"Cueto, Johnny(P) CIN ","Home: 0 Away: 6 (@HOU,@PIT)",83,432,81%,28%,2.819,1.0549,5,51,0
P,"Iwakuma, Hisashi(P) SEA ","Home: 0 Away: 7 (@DET,@LAA)",208,30,94%,70%,2.663,1.0061,14,185,0
P,"Johnson, Jim(P) BAL ","Home: 0 Away: 6 (@BOS,@TB)",163,150,90%,78%,2.943,1.2796,3,56,50
P,"Latos, Mat(P) CIN ","Home: 0 Away: 6 (@HOU,@PIT)",94,82,95%,76%,3.161,1.2104,14,187,0
P,"Reed, Addison(P) CHW ",Home: 3 (MIN)Away: 3 (@DET),229,157,86%,69%,3.785,1.1075,5,72,40

Bench (P),"Gallardo, Yovani(P) MIL ","Home: 7 (CHC,STL)Away: 0 ",65,292,80%,41%,4.184,1.3616,12,144,0
Bench (P),"Lincecum, Tim(P) SF ","Home: 0 Away: 6 (@NYM,@NYY)",264,242,83%,49%,4.371,1.3153,10,193,0
Bench (P),"Niese, Jonathon(P) NYM ",Home: 3 (SF)Away: 3 (@PHI),172,424,62%,36%,3.713,1.4406,8,105,0
"Active: 16, Reserve: 6, Injured: 1"

Hodor Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,9/16-9/22,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
