Rank,Player,Expert
1,Mike Trout CF | LAA  $48 ,1
2,Mookie Betts RF | BOS  $45 ,1
3,Jose Altuve 2B | HOU  $45 ,1
4,Nolan Arenado 3B | COL  $43 ,1
5,Paul Goldschmidt 1B | ARI  $43 ,1
6,Kris Bryant 3B | CHC  $42 ,1
7,Josh Donaldson 3B | TOR  $41 ,1
8,Manny Machado 3B | BAL  $41 ,1
9,Anthony Rizzo 1B | CHC  $40 ,1
10,Bryce Harper RF | WAS  $39 ,1
11,Clayton Kershaw SP | LAD  $39 ,1
12,Corey Seager SS | LAD  $36 ,1
13,Charlie Blackmon CF | COL  $36 ,1
14,Miguel Cabrera 1B | DET  $36 ,1
15,Carlos Correa SS | HOU  $36 ,1
16,Max Scherzer SP | WAS  $36 ,1
17,Joey Votto 1B | CIN  $34 ,1
18,Edwin Encarnacion DH | CLE  $34 ,1
19,Madison Bumgarner SP | SF  $33 ,1
20,* Trea Turner CF | WAS  $33 ,1
21,Daniel Murphy 2B | WAS  $31 ,1
22,Chris Sale SP | BOS  $31 ,1
23,Corey Kluber SP | CLE  $31 ,1
24,Justin Verlander SP | DET  $31 ,1
25,Robinson Cano 2B | SEA  $31 ,1
26,Jon Lester SP | CHC  $30 ,1
27,Brian Dozier 2B | MIN  $30 ,1
28,Noah Syndergaard SP | NYM  $30 ,1
29,Matt Carpenter 3B | STL  $30 ,1
30,George Springer RF | HOU  $30 ,1
31,Xander Bogaerts SS | BOS  $30 ,1
32,Francisco Lindor SS | CLE  $30 ,1
33,Jake Arrieta SP | CHC  $30 ,1
34,Buster Posey C | SF  $29 ,1
35,Johnny Cueto SP | SF  $29 ,1
36,Freddie Freeman 1B | ATL  $29 ,1
37,A.J. Pollock CF | ARI  $28 ,1
38,Yu Darvish SP | TEX  $28 ,1
39,Ryan Braun LF | MIL  $28 ,1
40,Nelson Cruz DH | SEA  $28 ,1
41,Jacob deGrom SP | NYM  $27 ,1
42,Stephen Strasburg SP | WAS  $26 ,1
43,Giancarlo Stanton RF | MIA  $25 ,1
44,Jean Segura 2B | SEA  $25 ,1
45,Kyle Seager 3B | SEA  $24 ,1
46,Chris Archer SP | TB  $24 ,1
47,Carlos Carrasco SP | CLE  $24 ,1
48,David Price SP | BOS  $24 ,1
