Rank,Player,Expert
1,Mike Trout CF | LAA  $47 ,1
2,Christian Yelich RF | MIL  $47 ,1
3,Cody Bellinger RF | LAD  $46 ,1
4,Mookie Betts RF | LAD  $45 ,1
5,Gerrit Cole SP | NYY  $45 ,1
6,Alex Bregman 3B | HOU  $44 ,1
7,Ronald Acuna CF | ATL $42 ,1
8,Justin Verlander SP | HOU  $42 ,1
9,Jacob deGrom SP | NYM  $42 ,1
10,Max Scherzer SP | WAS $41 ,1
11,Freddie Freeman 1B | ATL  $38 ,1
12,Anthony Rendon 3B | LAA  $38 ,1
13,Nolan Arenado 3B | COL  $38 ,1
14,Walker Buehler SP | LAD  $37 ,1
15,Shane Bieber SP | CLE  $37 ,1
16,Francisco Lindor SS | CLE $37 ,1
17,Trevor Story SS | COL $37 ,1
18,Trea Turner SS | WAS $37 ,1
19,Juan Soto LF | WAS $37 ,1
20,Jack Flaherty SP | STL $36 ,1
21,Stephen Strasburg SP | WAS  $36 ,1
22,Patrick Corbin SP | WAS  $35 ,1
23,J.D. Martinez DH | BOS  $34 ,1
24,Jose Ramirez 3B | CLE $34 ,1
25,Lucas Giolito SP | CHW  $33 ,1
26,Luis Castillo SP | CIN  $33 ,1
27,Clayton Kershaw SP | LAD  $32 ,1
28,Aaron Nola SP | PHI  $32 ,1
29,Blake Snell SP | TB  $32 ,1
30,Zack Greinke SP | HOU  $32 ,1
31,Charlie Morton SP | TB  $32 ,1
32,Yordan Alvarez DH | HOU  $32 ,1
33,Xander Bogaerts SS | BOS  $31 ,1
34,Rafael Devers 3B | BOS  $31 ,1
35,Charlie Blackmon RF | COL $30 ,1
36,Ketel Marte CF | ARI $30 ,1
37,Jose Altuve 2B | HOU  $30 ,1
38,Fernando Tatis SS | SD  $29 ,1
39,George Springer CF | HOU $27 ,1
40,Mike Clevinger SP | CLE  $27 ,1
41,Noah Syndergaard SP | NYM  $27 ,1
42,* Tyler Glasnow SP | TB  $27 ,1
43,Chris Paddack SP | SD  $27 ,1
44,Pete Alonso 1B | NYM $25 ,1
45,Kris Bryant 3B | CHC $24 ,1
46,Anthony Rizzo 1B | CHC  $24 ,1
47,Gleyber Torres SS | NYY $24 ,1
48,Bryce Harper RF | PHI $24 ,1
49,Ozzie Albies 2B | ATL $23 ,1
50,Yu Darvish SP | CHC  $23 ,1
51,Starling Marte CF | ARI $22 ,1
52,J.T. Realmuto C | PHI  $22 ,1
53,Austin Meadows RF | TB  $22 ,1
54,Sonny Gray SP | CIN $22 ,1
55,Trevor Bauer SP | CIN  $22 ,1
56,Gary Sanchez C | NYY  $22 ,1
57,Brandon Woodruff SP | MIL  $22 ,1
58,DJ LeMahieu 2B | NYY $22 ,1
59,Joey Gallo CF | TEX  $22 ,1
60,Josh Bell 1B | PIT  $20 ,1
61,Marcus Semien SS | OAK  $19 ,1
62,* Bo Bichette SS | TOR  $19 ,1
63,Max Muncy 2B | LAD $19 ,1
64,Mike Soroka SP | ATL  $19 ,1
65,Whit Merrifield 2B | KC $19 ,1
66,Jose Berrios SP | MIN $19 ,1
67,Carlos Correa SS | HOU  $19 ,1
68,Jeff McNeil LF | NYM  $18 ,1
