Rank,Player,Trends,Avg Pick,HI/LO,% Drafted,
1,Mike Trout CF | LAA ,,1.65, 1/4,92.6
2,Christian Yelich RF | MIL ,,2.62, 1/5,91.6
3,Mookie Betts RF | LAD , +1,5.33, 3/9,91.6
4,Gerrit Cole SP | NYY , +1,5.64, 1/14,88.4
5,Ronald Acuna CF | ATL, -2,5.91, 1/22,91.6
6,Cody Bellinger RF | LAD ,,7.25, 3/14,91.6
7,Jacob deGrom SP | NYM ,,7.51, 2/17,88.4
8,Justin Verlander SP | HOU ,,8.56, 2/24,87.4
9,Max Scherzer SP | WAS, +1,9.12, 4/27,88.4
10,Alex Bregman 3B | HOU , -1,12.58, 5/26,91.6
11,Nolan Arenado 3B | COL ,,13.00, 5/24,91.6
12,Anthony Rendon 3B | LAA , +2,13.60, 5/24,93.7
13,Walker Buehler SP | LAD ,,13.91, 7/28,89.5
14,Francisco Lindor SS | CLE, -2,15.88, 8/29,91.6
15,Stephen Strasburg SP | WAS ,,16.18, 8/28,88.4
16,Juan Soto LF | WAS,,18.89, 6/33,91.6
17,Jose Ramirez 3B | CLE,,20.00, 10/38,91.6
18,Zack Greinke SP | HOU , +3,21.26, 10/56,88.4
19,George Springer CF | HOU, -1,21.39, 10/42,92.6
20,Jose Altuve 2B | HOU , -1,22.70, 8/44,92.6
21,Freddie Freeman 1B | ATL , -1,23.74, 11/40,92.6
22,Shane Bieber SP | CLE ,,24.70, 13/40,88.4
23,Jack Flaherty SP | STL, +1,27.73, 13/57,88.4
24,Patrick Corbin SP | WAS , +3,28.14, 16/56,89.5
25,Clayton Kershaw SP | LAD , +1,28.32, 13/61,88.4
26,Bryce Harper RF | PHI, -1,31.28, 16/55,91.6
27,Xander Bogaerts SS | BOS , -4,31.57, 14/51,92.6
28,Jose Berrios SP | MIN, +1,31.99, 17/65,88.4
29,Trevor Story SS | COL, -1,35.37, 15/74,91.6
30,Charlie Blackmon RF | COL, +8,36.36, 19/70,93.7
31,Pete Alonso 1B | NYM, -1,36.47, 14/63,93.7
32,Luis Castillo SP | CIN , +3,38.81, 22/69,89.5
33,Rafael Devers 3B | BOS , -2,38.95, 16/71,91.6
34,Ketel Marte CF | ARI,,39.91, 19/64,93.7
35,Charlie Morton SP | TB , +9,41.59, 24/92,89.5
36,Starling Marte CF | ARI, +3,41.92, 23/80,93.7
37,Anthony Rizzo 1B | CHC , +3,42.04, 22/70,91.6
38,Gleyber Torres SS | NYY, -6,42.52, 19/68,92.6
39,Aaron Nola SP | PHI , +3,43.59, 24/80,88.4
40,Javier Baez SS | CHC , +3,44.01, 19/88,92.6
41,DJ LeMahieu 2B | NYY, +6,44.01, 15/77,92.6
42,Blake Snell SP | TB , -6,45.26, 22/80,89.5
