Rank,Player,Trends,Avg Pick,HI/LO,% Drafted,
1,Mike Trout CF | LAA ,,1.68, 1/6,93.2
266,Alex Cobb SP | TB *, +16,220.01, 145/298,42.8
267,Blake Parker RP | LAA  *, +42,220.02, 132/330,26.6
268,David Dahl LF | COL  *,,220.20, 120/300,50.6
269,Logan Morrison 1B | MIN  *, +42,220.22, 109/310,44.5
270,Carlos Gonzalez RF | COL , +30,220.65, 107/308,44.7
271,Maikel Franco 3B | PHI *, +23,220.73, 107/304,35.9
272,Matt Kemp LF | LAD , +35,220.77, 127/324,38.3
273,Dan Straily SP | MIA , +23,221.36, 122/299,48.4
274,Ryan McMahon 1B | COL  *, +48,221.80, 62/310,28.3
275,Todd Frazier 3B | NYM , +40,222.29, 112/307,35.0
276,Alex Reyes SP | STL  *, -28,222.36, 113/302,27.3
277,Brad Brach RP | BAL *, +9,222.43, 141/318,31.8
278,Yasmani Grandal C | LAD , -12,222.50, 129/324,25.4
279,Mike Minor RP | TEX  *, -8,224.48, 100/328,32.0
280,Kendrys Morales DH | TOR, +7,225.02, 123/324,26.8
281,Josh Reddick RF | HOU *, +25,225.27, 133/322,34.6
282,"Cesar Hernandez 2B | PHI ", +26,226.34, 120/300,39.5
283,Chris Davis 1B | BAL  *, +15,226.82, 98/327,30.9
284,Shane Greene RP | DET  *, +41,227.11, 110/317,27.3
285,Michael Kopech SP | CHW  *, -47,227.99, 82/319,24.0
286,Jackie Bradley CF | BOS  *, +41,228.81, 131/302,38.1
287,Francisco Mejia C | CLE  *, -20,230.47, 136/318,35.2
288,Adam Wainwright SP | STL  *, +56,230.62, 144/316,33.0
289,Scott Schebler RF | CIN  *, +51,230.76, 119/313,34.8
290,Brandon Drury 2B | NYY  *, +34,231.82, 94/330,28.9
291,Dexter Fowler CF | STL , +40,231.85, 131/332,28.7
292,Mitch Haniger RF | SEA  *, +29,232.24, 116/325,32.8
293,Jose Bautista RF | TOR , +2,233.35, 111/364,22.3
294,Miles Mikolas SP | STL  *, +11,234.71, 88/336,26.0
295,Albert Pujols DH | LAA  *, +35,234.95, 127/355,26.4
296,Randal Grichuk LF | TOR  *, +24,235.10, 94/345,26.6
297,Odubel Herrera CF | PHI , +39,235.61, 115/320,29.5
298,Robinson Chirinos C | TEX , +31,236.00, 119/324,25.0
299,Jose Urena SP | MIA  *, +19,236.02, 97/333,29.5
300,Kevin Kiermaier CF | TB  *, +49,236.08, 143/342,24.4
301,Delino DeShields LF | TEX  *, +34,236.21, 134/335,29.7
302,Sean Newcomb SP | ATL  *, +62,236.29, 119/324,27.0
303,A.J. Cole SP | WAS  *, +74,236.69, 153/301,22.1
304,Mike Foltynewicz SP | ATL  *, +66,236.79, 148/323,32.4
305,Jose Martinez LF | STL  *, +27,237.71, 82/345,26.0
306,Josh Harrison 2B | PIT  *, +35,239.45, 117/323,26.8
307,Mark Reynolds 1B | COL , +44,240.31, 135/329,25.0
308,Jorge Polanco SS | MIN  *, +2,240.99, 129/340,23.0
309,Yuli Gurriel 1B | HOU  *, +10,241.44, 91/342,20.7
310,Tim Beckham SS | BAL  *, +62,241.94, 139/339,24.8
311,David Peralta RF | ARI  *, +28,242.00, 132/321,29.5
312,Jonathan Villar 2B | MIL, +22,242.69, 117/336,24.4
313,Austin Hedges C | SD  *, +61,243.07, 109/348,21.3
314,Steven Matz SP | NYM , +41,243.38, 134/331,28.1
315,Matt Moore SP | TEX , +41,247.80, 104/357,24.4
316,Eduardo Rodriguez SP | BOS , +45,249.91, 146/328,20.5
317,Vince Velasquez SP | PHI  *, +54,253.89, 164/323,21.5
