Rank,Player,Expert
1,Mike Trout CF | LAA  $46 ,1
2,Jose Altuve 2B | HOU  $45 ,1
3,Nolan Arenado 3B | COL $44 ,1
4,Bryce Harper RF | WAS  $42 ,1
5,Charlie Blackmon CF | COL  $41 ,1
6,Mookie Betts RF | BOS $41 ,1
7,Giancarlo Stanton RF | NYY  $40 ,1
8,Clayton Kershaw SP | LAD $38 ,1
9,Kris Bryant 3B | CHC  $38 ,1
10,Trea Turner SS | WAS  $38 ,1
11,Paul Goldschmidt 1B | ARI  $38 ,1
12,Carlos Correa SS | HOU $37 ,1
13,Corey Kluber SP | CLE  $36 ,1
14,Chris Sale SP | BOS  $36 ,1
15,Max Scherzer SP | WAS  $36 ,1
16,Freddie Freeman 1B | ATL  $36 ,1
17,Anthony Rizzo 1B | CHC  $35 ,1
18,Manny Machado 3B | BAL $35 ,1
19,Joey Votto 1B | CIN $34 ,1
20,Francisco Lindor SS | CLE  $33 ,1
21,J.D. Martinez RF | BOS  $33 ,1
22,Jose Ramirez 3B | CLE  $33 ,1
23,George Springer CF | HOU $31 ,1
24,Aaron Judge RF | NYY $31 ,1
25,Cody Bellinger 1B | LAD $31 ,1
26,Josh Donaldson 3B | TOR  $29 ,1
27,Corey Seager SS | LAD  $29 ,1
28,Zack Greinke SP | ARI  $29 ,1
29,Justin Verlander SP | HOU  $29 ,1
30,Madison Bumgarner SP | SF $29 ,1
31,Gary Sanchez C | NYY $29 ,1
32,Anthony Rendon 3B | WAS $28 ,1
33,Luis Severino SP | NYY  $28 ,1
34,Stephen Strasburg SP | WAS $28 ,1
35,Noah Syndergaard SP | NYM  $28 ,1
36,Carlos Carrasco SP | CLE $28 ,1
37,Brian Dozier 2B | MIN $28 ,1
38,Jacob deGrom SP | NYM  $28 ,1
39,Jose Abreu 1B | CHW  $27 ,1
40,Daniel Murphy 2B | WAS  $26 ,1
41,Rhys Hoskins LF | PHI  $26 ,1
42,Nelson Cruz DH | SEA  $26 ,1
43,Edwin Encarnacion DH | CLE $26 ,1
44,Yu Darvish SP | CHC $26 ,1
45,Robbie Ray SP | ARI  $25 ,1
46,Chris Archer SP | TB  $25 ,1
47,Carlos Martinez SP | STL  $25 ,1
48,Dallas Keuchel SP | HOU  $24 ,1
49,Alex Bregman 3B | HOU  $24 ,1
50,Buster Posey C | SF $24 ,1
51,Justin Turner 3B | LAD $23 ,1
52,Tommy Pham LF | STL $22 ,1
53,Christian Yelich CF | MIL $21 ,1
54,Andrew Benintendi LF | BOS $21 ,1
55,Marcell Ozuna LF | STL  $21 ,1
56,James Paxton SP | SEA  $21 ,1
57,Miguel Cabrera 1B | DET  $21 ,1
58,Elvis Andrus SS | TEX $21 ,1
59,Zack Godley SP | ARI  $21 ,1
60,Jonathan Schoop 2B | BAL $20 ,1
61,Aaron Nola SP | PHI $20 ,1
62,Carlos Santana 1B | PHI $20 ,1
63,Jose Quintana SP | CHC  $20 ,1
64,Gerrit Cole SP | HOU  $20 ,1
65,Masahiro Tanaka SP | NYY  $20 ,1
66,* David Price SP | BOS  $20 ,1
67,Sonny Gray SP | NYY $20 ,1
68,Jake Arrieta SP | PHI  $20 ,1
69,Jon Lester SP | CHC  $20 ,1
70,Johnny Cueto SP | SF $20 ,1
71,Eric Hosmer 1B | SD $20 ,1
72,Willson Contreras C | CHC  $19 ,1
73,Matt Carpenter 1B | STL  $19 ,1
74,Robinson Cano 2B | SEA  $18 ,1
75,Dee Gordon 2B | SEA $18 ,1
76,Justin Upton LF | LAA $18 ,1
77,Andrew McCutchen CF | SF $18 ,1
78,Khris Davis LF | OAK $18 ,1
79,Alex Wood SP | LAD  $17 ,1
80,Kenley Jansen RP | LAD  $17 ,1
81,Craig Kimbrel RP | BOS  $17 ,1
82,Lorenzo Cain CF | MIL $17 ,1
83,* Luis Castillo SP | CIN  $16 ,1
84,Aroldis Chapman RP | NYY $15 ,1
85,A.J. Pollock CF | ARI  $15 ,1
86,Xander Bogaerts SS | BOS  $15 ,1
87,* Whit Merrifield 2B | KC $15 ,1
88,Corey Knebel RP | MIL  $15 ,1
89,Starling Marte LF | PIT $15 ,1
90,* Rafael Devers 3B | BOS  $15 ,1
91,Lance McCullers SP | HOU  $15 ,1
92,Travis Shaw 3B | MIL  $15 ,1
93,Jean Segura SS | SEA  $15 ,1
94,Marcus Stroman SP | TOR  $15 ,1
95,Salvador Perez C | KC $15 ,1
96,Ken Giles RP | HOU $15 ,1
97,* Shohei Ohtani SP | LAA  $15 ,1
98,Roberto Osuna RP | TOR  $15 ,1
99,Rich Hill SP | LAD $15 ,1
100,J.T. Realmuto C | MIA  $15 ,1
101,Luke Weaver SP | STL  $15 ,1
102,* Didi Gregorius SS | NYY $15 ,1
103,Charlie Morton SP | HOU  $15 ,1
104,Chase Anderson SP | MIL $15 ,1
105,Jose Berrios SP | MIN $14 ,1
106,Wil Myers 1B | SD $14 ,1
107,* Sean Doolittle RP | WAS $13 ,1
108,Felipe Rivero RP | PIT $13 ,1
109,* Byron Buxton CF | MIN $12 ,1
110,Adam Eaton CF | WAS  $12 ,1
111,Gio Gonzalez SP | WAS  $11 ,1
112,Jeff Samardzija SP | SF  $11 ,1
113,Trevor Bauer SP | CLE $10 ,1
114,Kyle Hendricks SP | CHC  $10 ,1
115,Wade Davis RP | COL  $10 ,1
116,Raisel Iglesias RP | CIN  $10 ,1
117,Edwin Diaz RP | SEA  $9 ,1
118,Chris Taylor CF | LAD $9 ,1
119,* Ozzie Albies 2B | ATL  $8 ,1
120,* Ronald Acuna CF | ATL  $7 ,1
121,* Matt Olson 1B | OAK  $6 ,1
122,* Adrian Beltre 3B | TEX $6 ,1
123,Jay Bruce RF | NYM $6 ,1
124,Yoenis Cespedes LF | NYM  $6 ,1
125,Ryan Braun LF | MIL $6 ,1
126,DJ LeMahieu 2B | COL $6 ,1
127,* Brandon Morrow RP | CHC $6 ,1
128,Alex Colome RP | TB  $6 ,1
129,Cody Allen RP | CLE $6 ,1
130,Mike Moustakas 3B | KC $6 ,1
131,Miguel Sano 3B | MIN  $6 ,1
132,* Blake Snell SP | TB  $6 ,1
133,Mike Clevinger SP | CLE  $6 ,1
134,* Danny Duffy SP | KC  $6 ,1
135,Michael Fulmer SP | DET  $6 ,1
136,Jon Gray SP | COL  $6 ,1
137,* Eddie Rosario LF | MIN  $6 ,1
138,* Domingo Santana RF | MIL $6 ,1
139,Dylan Bundy SP | BAL  $6 ,1
140,Eduardo Nunez 3B | BOS $6 ,1
141,Kyle Seager 3B | SEA $6 ,1
142,Yasiel Puig RF | LAD $6 ,1
143,* Nicholas Castellanos 3B | DET  $6 ,1
144,Evan Gattis C | HOU $6 ,1
145,* Marwin Gonzalez LF | HOU $6 ,1
