1757987,275
392294,22
1757988,309
132684,356
548808,283
1708185,254
1098963,201
1184317,367
292349,317
547241,217
2029433,143
390862,60
2000033,218
1741213,115
390851,36
556425,305
489785,167
490865,186
489788,314
2000025,256
2000026,293
489791,278
2040765,222
1622557,100
1733668,298
1754186,346
2036439,362
585618,94
1754188,104
1757975,214
284578,300
1757973,220
284591,369
1744704,209
1765052,6
1953416,152
1757981,215
533212,112
1103279,332
390815,135
1103277,30
1667054,106
1759018,14
1953522,124
1601528,150
1894603,349
2044107,259
284634,121
1793168,101
1103265,301
1758068,340
292740,204
1630081,136
1098892,329
564270,86
549974,49
1103290,5
1630084,142
1630085,311
1630087,365
1103761,231
1630089,184
1654347,260
1630091,200
1630093,4
284621,368
1611138,75
1894637,159
549986,238
1660451,81
1103791,244
1894635,76
1537190,344
530362,73
1894631,182
1098932,31
1741763,155
1894629,61
489854,52
1221725,2
1894628,169
530359,174
8236,87
182199,347
515663,234
1894625,25
530355,70
1794323,48
132668,130
1655631,85
284645,307
2135575,296
11491,42
1954592,162
583492,219
1629156,370
1894644,297
1200838,336
484952,318
288923,194
1941510,93
1665897,333
1935581,265
1971219,125
1800284,131
7525,360
1827526,289
584965,67
288915,291
1221813,221
547591,248
174916,324
288917,38
1803864,255
1784971,213
1811026,191
223481,245
1716842,266
1784973,98
288897,3
393458,34
1099374,108
1699360,122
288903,39
8023,252
288900,21
2108023,210
1630078,66
1630079,32
1755142,40
483346,128
1661498,359
1811464,279
1665386,277
1623765,110
483349,109
1803884,287
390777,308
1630071,208
390776,133
1623772,357
224393,211
1623768,225
1619230,24
174972,193
1810388,189
174974,224
1103728,89
1619229,50
546240,261
2160873,138
1937143,361
534114,299
1933858,77
1803785,226
181555,74
1604111,292
1953406,95
2044523,345
10813,325
1803783,241
288981,199
1915129,195
1979965,92
2145913,190
547679,90
1770784,156
288974,185
585912,149
2001082,166
288970,246
1225651,8
2001081,99
1741691,303
1514565,114
2044495,343
1765807,281
292125,236
1200052,202
533001,312
532997,20
547682,373
545787,127
2044511,295
1735792,251
1733864,84
2044508,46
1741652,102
1765816,320
389743,26
1765815,91
1697838,228
1765813,47
1765812,107
1765811,37
1765810,240
548120,206
1744777,145
1992864,23
1762602,12
1733482,116
1225749,335
1717646,63
1667927,304
1104384,146
1724102,137
1671044,119
1810926,163
549738,276
1231630,212
1225732,366
1231629,71
2114443,51
1740929,170
1784689,306
483767,232
1740934,198
2008572,154
223571,41
2106654,165
1756627,172
593271,83
1493883,19
392528,10
1493886,111
393076,175
479027,197
1619074,16
223559,223
1893753,72
2146204,267
1699742,338
1103045,43
1799465,144
1739603,233
479065,35
1208718,161
1657590,173
1208713,351
2041486,54
479388,28
1805124,230
1675980,13
549693,188
1208709,328
23606,160
1739608,1
1811964,113
1741011,285
549684,187
1813268,263
1730742,148
1661425,120
1813264,273
1813265,270
1913316,132
1661428,342
1741002,88
225418,239
1918584,257
1657581,59
1657583,372
1740992,168
1657577,350
1669561,164
1114751,64
580589,27
174775,316
2138665,294
1179740,247
1208743,57
589256,15
1179742,262
546345,141
2036154,68
2027431,358
1953811,323
1184595,44
1232135,192
2053477,334
1184594,216
21655,250
1232132,352
541516,7
1232130,9
580602,65
1660162,29
1232129,178
1184596,363
1232128,354
400617,355
1953818,326
2166699,284
548513,229
564090,327
1663024,227
593198,69
580594,181
2052567,271
490155,353
546504,337
1758975,55
1262690,97
1182822,321
1739668,330
1947829,315
1794765,82
448968,341
546867,56
1947827,264
1262692,302
18817,249
1739665,371
1262693,313
1116708,258
1208667,129
1937337,151
174659,205
1840445,203
1182834,319
1937341,96
1102958,147
2106364,11
11073,268
2071263,105
541105,243
370395,176
541104,139
292449,339
1945612,158
1808563,269
479165,235
1670955,237
1114753,33
1670417,17
1758899,157
1499976,140
383411,196
1099014,80
1812898,183
1669888,282
1795780,117
1507970,118
7696,310
1601130,280
1852623,242
479168,179
1988873,103
293103,286
1810724,322
2117049,348
1956960,274
1718083,62
1718082,53
1937347,126
1947857,272
21508,253
1839905,18
1945481,171
44638,177
448940,288
1603013,180
584809,79
1798566,207
367942,58
547434,45
1133731,123
1741384,364
584800,290
547429,78
1670494,134
1662780,331
584806,153
