Rank,Player,Expert
121,Dee Gordon 2B | SEA $7 ,1
122,Joey Gallo LF | TEX  $7 ,1
123,Wade Davis RP | COL $7 ,1
124,Matt Chapman 3B | OAK $7 ,1
125,* Victor Robles CF | WAS  $7 ,1
126,Robbie Ray SP | ARI  $7 ,1
127,* Yusei Kikuchi SP | SEA  $7 ,1
128,* Jurickson Profar SS | OAK  $6 ,1
129,Yadier Molina C | STL  $6 ,1
130,Jon Gray SP | COL  $6 ,1
131,Brian Dozier 2B | WAS  $6 ,1
132,* Buster Posey C | SF $6 ,1
133,Raisel Iglesias RP | CIN $6 ,1
134,Shane Bieber SP | CLE $6 ,1
135,* Nick Pivetta SP | PHI  $6 ,1
136,* Tyler Glasnow RP | TB  $6 ,1
137,* Collin McHugh RP | HOU $6 ,1
138,Tyler Skaggs SP | LAA  $6 ,1
139,Kenta Maeda SP | LAD  $5 ,1
140,Marcell Ozuna LF | STL  $5 ,1
141,* Jesse Winker RF | CIN  $5 ,1
142,David Peralta LF | ARI $5 ,1
143,Wil Myers LF | SD  $5 ,1
144,* Danny Jansen C | TOR  $5 ,1
145,Jose Peraza SS | CIN  $5 ,1
146,* Brad Peacock RP | HOU  $5 ,1
147,Jose Quintana SP | CHC  $5 ,1
148,Eduardo Rodriguez SP | BOS $5 ,1
149,* Josh Hader RP | MIL  $5 ,1
150,Rich Hill SP | LAD  $5 ,1
151,* Kyle Hendricks SP | CHC  $5 ,1
152,* Pete Alonso 1B | NYM  $5 ,1
153,* Nathan Eovaldi SP | BOS  $5 ,1
154,* Ross Stripling SP | LAD  $5 ,1
155,* Stephen Piscotty RF | OAK  $5 ,1
156,Rafael Devers 3B | BOS $5 ,1
157,* Luke Voit 1B | NYY $5 ,1
158,* Fernando Tatis SS | SD  $5 ,1
159,Dallas Keuchel SP | HOU  $5 ,1
160,Joe Musgrove SP | PIT  $5 ,1
161,* Chris Paddack SP | SD  $5 ,1
162,* Matt Strahm RP | SD  $5 ,1
163,* Brandon Woodruff RP | MIL  $5 ,1
164,* Adam Eaton RF | WAS  $5 ,1
165,Brandon Nimmo RF | NYM  $5 ,1
166,* Nomar Mazara RF | TEX  $5 ,1
167,* Shohei Ohtani DH | LAA  $5 ,1
168,Cody Allen RP | LAA  $5 ,1
169,Kyle Freeland SP | COL  $5 ,1
170,Jon Lester SP | CHC $5 ,1
171,* Ken Giles RP | TOR  $5 ,1
172,* Corbin Burnes RP | MIL  $5 ,1
173,* Julio Urias RP | LAD  $5 ,1
174,* David Robertson RP | PHI  $5 ,1
175,* Mallex Smith CF | SEA  $5 ,1
176,* Miguel Cabrera 1B | DET  $5 ,1
177,Marco Gonzales SP | SEA $5 ,1
178,* Matt Barnes RP | BOS $5 ,1
179,Joey Lucchesi SP | SD  $5 ,1
180,* Jordan Hicks RP | STL  $5 ,1
181,* Jimmy Nelson SP | MIL  $5 ,1
182,Andrew Heaney SP | LAA  $5 ,1
183,Rougned Odor 2B | TEX $5 ,1
184,Mike Moustakas 3B | MIL  $5 ,1
185,* Jesus Luzardo SP | OAK  $5 ,1
186,Carlos Martinez SP | STL  $5 ,1
187,Trevor Richards SP | MIA  $5 ,1
188,* Domingo German SP | NYY  $5 ,1
189,Hyun-Jin Ryu SP | LAD  $5 ,1
190,* Jeff McNeil 2B | NYM $5 ,1
191,* Ryan McMahon 1B | COL  $4 ,1
192,* Caleb Smith SP | MIA  $4 ,1
193,Sonny Gray SP | CIN  $4 ,1
194,* Arodys Vizcaino RP | ATL $4 ,1
195,Alex Wood SP | CIN  $4 ,1
196,Kyle Gibson SP | MIN $4 ,1
197,Jake Arrieta SP | PHI $4 ,1
198,* Francisco Mejia C | SD  $4 ,1
199,Gregory Polanco RF | PIT  $4 ,1
200,* Alex Reyes SP | STL  $3 ,1
201,Zach Eflin SP | PHI $3 ,1
202,Nick Markakis RF | ATL $3 ,1
203,Ender Inciarte CF | ATL $3 ,1
204,* Jonathan Villar 2B | BAL $3 ,1
205,* Jose Alvarado RP | TB  $3 ,1
206,Zack Godley SP | ARI $3 ,1
207,* Sean Newcomb SP | ATL  $3 ,1
208,Marcus Stroman SP | TOR $2 ,1
209,* Wade Miley SP | HOU  $2 ,1
210,* Vince Velasquez SP | PHI  $2 ,1
211,* Steven Matz SP | NYM $2 ,1
212,* Freddy Peralta SP | MIL  $2 ,1
213,Elvis Andrus SS | TEX  $1 ,1
214,Jonathan Schoop 2B | MIN  $1 ,1
215,* Josh James SP | HOU  $1 ,1
216,* Brandon Lowe 2B | TB  $1 ,1
217,* Nick Senzel 2B | CIN  $1 ,1
218,Scooter Gennett 2B | CIN  $1 ,1
219,* Touki Toussaint SP | ATL  $1 ,1
220,Carlos Rodon SP | CHW  $1 ,1
