Rank,Player,Expert
120,Michael Conforto LF | NYM  $8 ,1
121,* Miguel Andujar 3B | NYY $8 ,1
122,Wilson Ramos C | NYM $8 ,1
123,Dee Gordon 2B | SEA $8 ,1
124,Joey Gallo LF | TEX $8 ,1
125,Wade Davis RP | COL $8 ,1
126,Matt Chapman 3B | OAK  $7 ,1
127,Robbie Ray SP | ARI $7 ,1
128,* Yusei Kikuchi SP | SEA  $7 ,1
129,* Tyler Glasnow RP | TB  $7 ,1
130,* Victor Robles CF | WAS  $7 ,1
131,* Jurickson Profar SS | OAK $7 ,1
132,Yadier Molina C | STL  $7 ,1
133,Jon Gray SP | COL $7 ,1
134,David Peralta LF | ARI  $6 ,1
135,Wil Myers LF | SD  $6 ,1
136,Andrew Heaney SP | LAA  $6 ,1
137,Brian Dozier 2B | WAS  $6 ,1
138,* Buster Posey C | SF  $6 ,1
139,* Collin McHugh RP | HOU  $6 ,1
140,Raisel Iglesias RP | CIN $6 ,1
141,Tyler Skaggs SP | LAA  $6 ,1
142,* Nick Pivetta SP | PHI $6 ,1
143,Kenta Maeda SP | LAD  $6 ,1
144,* Stephen Piscotty RF | OAK  $6 ,1
145,Andrew McCutchen RF | PHI  $6 ,1
146,Marcell Ozuna LF | STL  $5 ,1
147,Jose Quintana SP | CHC $5 ,1
148,Eduardo Rodriguez SP | BOS  $5 ,1
149,* Jesse Winker RF | CIN  $5 ,1
150,Matt Olson 1B | OAK  $5 ,1
151,* Danny Jansen C | TOR  $5 ,1
152,Jose Peraza SS | CIN  $5 ,1
153,* Corey Knebel RP | MIL $5 ,1
154,* Josh Hader RP | MIL $5 ,1
155,Joe Musgrove SP | PIT  $5 ,1
156,* Kyle Hendricks SP | CHC $5 ,1
157,* Nathan Eovaldi SP | BOS  $5 ,1
158,Shane Bieber SP | CLE  $5 ,1
159,Brandon Nimmo RF | NYM  $5 ,1
160,Rafael Devers 3B | BOS  $5 ,1
161,* Nomar Mazara RF | TEX $5 ,1
162,Cody Allen RP | LAA $5 ,1
163,* Alex Reyes SP | STL  $5 ,1
164,* Shohei Ohtani DH | LAA  $5 ,1
165,Kyle Freeland SP | COL  $5 ,1
166,Alex Wood SP | CIN  $5 ,1
167,Jon Lester SP | CHC  $5 ,1
168,* Ken Giles RP | TOR  $5 ,1
169,* Jordan Hicks RP | STL  $5 ,1
170,* David Robertson RP | PHI $5 ,1
171,* Mallex Smith CF | SEA  $5 ,1
172,* Miguel Cabrera 1B | DET  $5 ,1
173,* Luke Voit 1B | NYY  $5 ,1
174,Rich Hill SP | LAD $5 ,1
175,Marco Gonzales SP | SEA  $5 ,1
176,* Matt Barnes RP | BOS  $5 ,1
177,* Brad Peacock RP | HOU  $5 ,1
178,* Archie Bradley RP | ARI  $5 ,1
179,Kyle Gibson SP | MIN  $5 ,1
180,Jake Arrieta SP | PHI  $5 ,1
181,Zach Eflin SP | PHI  $5 ,1
182,Will Smith RP | SF $4 ,1
183,* Francisco Mejia C | SD  $4 ,1
184,Rougned Odor 2B | TEX $4 ,1
185,* Nick Senzel 2B | CIN $4 ,1
186,Hyun-Jin Ryu SP | LAD $4 ,1
187,Gregory Polanco RF | PIT  $4 ,1
188,* Ross Stripling SP | LAD  $4 ,1
189,* Jesus Luzardo SP | OAK  $3 ,1
190,Shin-Soo Choo DH | TEX  $3 ,1
191,Nick Markakis RF | ATL  $3 ,1
192,Ender Inciarte CF | ATL  $3 ,1
193,* Jonathan Villar 2B | BAL $3 ,1
194,* Josh James SP | HOU  $3 ,1
195,* Jose Alvarado RP | TB  $3 ,1
196,Zack Godley SP | ARI  $3 ,1
197,* Sean Newcomb SP | ATL  $3 ,1
198,Sonny Gray SP | CIN  $3 ,1
199,* Jimmy Nelson SP | MIL  $3 ,1
200,Marcus Stroman SP | TOR  $3 ,1
201,* Adam Eaton RF | WAS  $2 ,1
202,Elvis Andrus SS | TEX  $2 ,1
203,Mike Moustakas 3B | MIL  $2 ,1
204,* Tyler White 1B | HOU  $2 ,1
205,Jonathan Schoop 2B | MIN  $1 ,1
206,Carlos Rodon SP | CHW  $1 ,1
207,Reynaldo Lopez SP | CHW  $1 ,1
208,Dylan Bundy SP | BAL  $1 ,1
209,Andrelton Simmons SS | LAA  $1 ,1
210,Kyle Seager 3B | SEA  $1 ,1
211,Eric Hosmer 1B | SD $1 ,1
212,* Vince Velasquez SP | PHI $1 ,1
213,* Pete Alonso 1B | NYM  $1 ,1
214,* Steven Matz SP | NYM  $1 ,1
215,DJ LeMahieu 2B | NYY  $1 ,1
216,* Kevin Gausman SP | ATL  $1 ,1
217,Jake Junis SP | KC $1 ,1
218,* Franmil Reyes RF | SD  $1 ,1
219,* Alex Colome RP | CHW  $1 ,1
220,* Arodys Vizcaino RP | ATL  $1 ,1
221,Jose Martinez 1B | STL  $1 ,1
222,Jed Lowrie 2B | NYM  $1 ,1
223,Cesar Hernandez 2B | PHI  $1 ,1
224,Julio Teheran SP | ATL  $1 ,1
225,Michael Wacha SP | STL  $1 ,1
226,* Michael Fulmer SP | DET  $1 ,1
227,* Brad Keller RP | KC  $1 ,1
228,Justin Smoak 1B | TOR  $1 ,1
229,Francisco Cervelli C | PIT  $1 ,1
230,Joey Lucchesi SP | SD  $1 ,1
231,* Jeff McNeil 2B | NYM  $1 ,1
232,Yoan Moncada 2B | CHW  $1 ,1
233,Paul DeJong SS | STL  $1 ,1
234,* Garrett Hampson SS | COL  $1 ,1
235,Ketel Marte 2B | ARI  $1 ,1
236,Eduardo Escobar 3B | ARI  $1 ,1
237,Asdrubal Cabrera 2B | TEX  $1 ,1
238,* Brandon Woodruff RP | MIL  $1 ,1
239,* Julio Urias RP | LAD  $1 ,1
240,* Corbin Burnes RP | MIL $1 ,1
241,* Kyle Tucker LF | HOU  $1 ,1
242,* Forrest Whitley SP | HOU  $1 ,1
243,Ryan Yarbrough RP | TB  $1 ,1
244,* Wade Miley SP | HOU  $1 ,1
245,* Odubel Herrera CF | PHI  $1 ,1
246,* Ian Desmond 1B | COL $1 ,1
247,Mike Minor SP | TEX  $1 ,1
248,* Luke Weaver SP | ARI  $1 ,1
249,* Michael Pineda SP | MIN  $1 ,1
250,* Hunter Strickland RP | SEA  $1 ,1
251,* Robinson Chirinos C | HOU  $1 ,1
252,* Welington Castillo C | CHW  $1 ,1
253,* Trevor May RP | MIN  ,1
254,* Pedro Strop RP | CHC  ,1
255,* Mychal Givens RP | BAL ,1
256,* Randal Grichuk RF | TOR  ,1
257,* Hunter Renfroe LF | SD  ,1
258,Josh Bell 1B | PIT ,1
259,Brandon Belt 1B | SF  ,1
260,* Jorge Polanco SS | MIN  ,1
261,Kyle Schwarber LF | CHC  ,1
262,* Max Kepler RF | MIN  ,1
263,* Billy Hamilton CF | KC ,1
264,* Matt Strahm RP | SD  ,1
265,* Byron Buxton CF | MIN  ,1
266,Jake Lamb 3B | ARI ,1
267,Miguel Sano 3B | MIN  ,1
268,Trevor Richards SP | MIA  ,1
269,Trevor Williams SP | PIT  ,1
270,Dereck Rodriguez SP | SF ,1
271,* Anibal Sanchez SP | WAS  ,1
272,Tanner Roark SP | CIN  ,1
273,* Matthew Boyd SP | DET ,1
274,Mike Fiers SP | OAK  ,1
275,* Jeremy Jeffress RP | MIL  ,1
276,* Greg Holland RP | ARI ,1
277,* Drew Steckenrider RP | MIA ,1
278,* A.J. Minter RP | ATL  ,1
279,* Jordan Lyles RP | PIT  ,1
280,* Yonny Chirinos RP | TB ,1
281,* Andrew Miller RP | STL ,1
282,Ryan Braun LF | MIL  ,1
283,* Jake Bauers 1B | CLE  ,1
284,* Yuli Gurriel 1B | HOU  ,1
285,Marcus Semien SS | OAK  ,1
286,* Brandon Lowe 2B | TB  ,1
287,* Marwin Gonzalez LF | MIN  ,1
288,* Willy Adames SS | TB  ,1
289,* Harrison Bader CF | STL ,1
290,* Austin Meadows RF | TB ,1
291,* Christin Stewart LF | DET  ,1
292,* Jackie Bradley CF | BOS  ,1
293,CC Sabathia SP | NYY  ,1
294,* Derek Holland SP | SF  ,1
295,* Tyler Anderson SP | COL ,1
296,* Ryan Zimmerman 1B | WAS  ,1
297,* Danny Duffy SP | KC  ,1
298,Mike Soroka SP | ATL  ,1
299,Jeff Samardzija SP | SF ,1
300,* Adam Wainwright SP | STL,1
1,Mookie Betts RF | BOS $50 ,2
2,Mike Trout CF | LAA $50 ,2
3,Jose Ramirez 3B | CLE $48 ,2
4,Jose Altuve 2B | HOU  $45 ,2
5,Nolan Arenado 3B | COL $45 ,2
6,Max Scherzer SP | WAS  $45 ,2
7,J.D. Martinez DH | BOS  $45 ,2
8,Bryce Harper RF | PHI  $45 ,2
9,Freddie Freeman 1B | ATL $40 ,2
10,Chris Sale SP | BOS  $40 ,2
11,Paul Goldschmidt 1B | STL $39 ,2
12,Alex Bregman 3B | HOU  $39 ,2
13,Francisco Lindor SS | CLE  $39 ,2
14,Andrew Benintendi LF | BOS  $39 ,2
15,Christian Yelich LF | MIL  $39 ,2
16,Jacob deGrom SP | NYM $39 ,2
17,Justin Verlander SP | HOU  $39 ,2
18,Manny Machado SS | SD $39 ,2
19,Trea Turner SS | WAS  $37 ,2
20,Blake Snell SP | TB  $33 ,2
21,Corey Kluber SP | CLE $33 ,2
22,Aaron Nola SP | PHI  $32 ,2
23,Gerrit Cole SP | HOU  $32 ,2
24,Juan Soto LF | WAS  $31 ,2
25,Ronald Acuna LF | ATL  $31 ,2
26,Aaron Judge RF | NYY $30 ,2
27,Charlie Blackmon CF | COL  $30 ,2
28,Giancarlo Stanton DH | NYY  $30 ,2
29,Matt Carpenter 1B | STL $29 ,2
30,Carlos Correa SS | HOU $29 ,2
31,Trevor Story SS | COL $29 ,2
32,Anthony Rizzo 1B | CHC  $28 ,2
33,Carlos Carrasco SP | CLE $27 ,2
34,Trevor Bauer SP | CLE $27 ,2
35,Noah Syndergaard SP | NYM  $26 ,2
36,Rhys Hoskins LF | PHI $25 ,2
37,Joey Votto 1B | CIN $25 ,2
38,Jose Abreu 1B | CHW  $25 ,2
39,Anthony Rendon 3B | WAS  $24 ,2
40,Stephen Strasburg SP | WAS  $24 ,2
41,Patrick Corbin SP | WAS $24 ,2
42,James Paxton SP | NYY  $24 ,2
43,Zack Greinke SP | ARI  $24 ,2
44,J.T. Realmuto C | PHI $24 ,2
45,Jack Flaherty SP | STL $24 ,2
46,Walker Buehler SP | LAD  $24 ,2
47,Michael Brantley LF | HOU $24 ,2
48,Whit Merrifield 2B | KC  $24 ,2
49,Javier Baez 2B | CHC $24 ,2
50,Gary Sanchez C | NYY $24 ,2
51,George Springer CF | HOU $23 ,2
52,Kris Bryant 3B | CHC $23 ,2
53,Starling Marte CF | PIT  $20 ,2
54,Lorenzo Cain CF | MIL  $20 ,2
55,Mitch Haniger RF | SEA $19 ,2
56,Cody Bellinger 1B | LAD $19 ,2
57,Miles Mikolas SP | STL  $19 ,2
58,Clayton Kershaw SP | LAD  $15 ,2
59,Mike Clevinger SP | CLE $19 ,2
60,Travis Shaw 3B | MIL  $19 ,2
61,Nelson Cruz DH | MIN  $19 ,2
62,Khris Davis DH | OAK  $19 ,2
63,Xander Bogaerts SS | BOS $19 ,2
64,* Vladimir Guerrero 3B | TOR  $18 ,2
65,* Corey Seager SS | LAD  $19 ,2
66,* Eloy Jimenez LF | CHW  $17 ,2
67,Jose Berrios SP | MIN $16 ,2
68,Jameson Taillon SP | PIT  $16 ,2
69,Tommy Pham CF | TB  $15 ,2
70,Max Muncy 1B | LAD  $15 ,2
71,Luis Severino SP | NYY  $24 ,2
72,Chris Archer SP | PIT  $15 ,2
73,Justin Upton LF | LAA  $15 ,2
74,Marcell Ozuna LF | STL  $15 ,2
75,Eddie Rosario LF | MIN $15 ,2
76,Joey Gallo LF | TEX $15 ,2
77,Jesus Aguilar 1B | MIL $15 ,2
78,Daniel Murphy 2B | COL $15 ,2
79,* Adalberto Mondesi SS | KC  $15 ,2
80,Jean Segura SS | PHI  $15 ,2
81,Eugenio Suarez 3B | CIN $13 ,2
82,Justin Turner 3B | LAD $13 ,2
83,Scooter Gennett 2B | CIN  $13 ,2
84,Ozzie Albies 2B | ATL  $13 ,2
85,Roberto Osuna RP | HOU $15 ,2
86,Edwin Diaz RP | NYM $15 ,2
87,Aroldis Chapman RP | NYY $15 ,2
88,Craig Kimbrel RP | BOS  $14 ,2
89,Kenley Jansen RP | LAD $13 ,2
90,Carlos Santana 1B | CLE $13 ,2
91,Edwin Encarnacion DH | SEA $13 ,2
92,A.J. Pollock CF | LAD $13 ,2
93,Blake Treinen RP | OAK $13 ,2
94,Brad Hand RP | CLE $13 ,2
95,* Robinson Cano 2B | NYM  $12 ,2
96,German Marquez SP | COL  $12 ,2
97,Shane Bieber SP | CLE  $11 ,2
98,Charlie Morton SP | TB  $12 ,2
99,Robbie Ray SP | ARI $12 ,2
100,* Gleyber Torres 2B | NYY $13 ,2
101,Andrew McCutchen RF | PHI  $12 ,2
102,* David Dahl LF | COL  $11 ,2
103,Wilson Ramos C | NYM $11 ,2
104,* Luis Castillo SP | CIN $11 ,2
105,* Nick Pivetta SP | PHI $11 ,2
106,Paul DeJong SS | STL  $11 ,2
107,David Price SP | BOS  $11 ,2
108,Masahiro Tanaka SP | NYY  $11 ,2
109,* Tyler Glasnow RP | TB  $11 ,2
110,Yu Darvish SP | CHC $11 ,2
111,Kenta Maeda SP | LAD  $11 ,2
112,Zack Wheeler SP | NYM  $11 ,2
113,Jon Gray SP | COL $11 ,2
114,Madison Bumgarner SP | SF  $11 ,2
115,Dallas Keuchel SP | HOU $11 ,2
116,* Yasiel Puig RF | CIN $11 ,2
117,Michael Conforto LF | NYM  $11 ,2
118,Aaron Hicks CF | NYY  $10 ,2
119,* Buster Posey C | SF  $10 ,2
120,Yasmani Grandal C | MIL  $9 ,2
121,Willson Contreras C | CHC $9 ,2
122,Felipe Vazquez RP | PIT  $9 ,2
123,Brian Dozier 2B | WAS  $9 ,2
124,* Mallex Smith CF | SEA  $9 ,2
125,Matt Chapman 3B | OAK  $9 ,2
126,Josh Donaldson 3B | ATL  $9 ,2
127,Nicholas Castellanos RF | DET  $8 ,2
128,Zack Godley SP | ARI  $8 ,2
129,Rich Hill SP | LAD $8 ,2
130,Jose Quintana SP | CHC $8 ,2
131,* Kyle Hendricks SP | CHC $8 ,2
132,* Yusei Kikuchi SP | SEA  $8 ,2
133,* Danny Jansen C | TOR  $8 ,2
134,Yadier Molina C | STL  $8 ,2
135,Raisel Iglesias RP | CIN $7 ,2
136,Sean Doolittle RP | WAS  $7 ,2
137,Alex Wood SP | CIN  $7 ,2
138,* Sean Newcomb SP | ATL  $7 ,2
139,Cody Allen RP | LAA $7 ,2
140,Wade Davis RP | COL $7 ,2
141,* Kirby Yates RP | SD  $7 ,2
142,Jose Leclerc RP | TEX  $7 ,2
143,* Corey Knebel RP | MIL $4 ,2
144,Mike Moustakas 3B | MIL  $2 ,2
145,Carlos Martinez SP | STL  $6 ,2
146,J.A. Happ SP | NYY $6 ,2
147,Rafael Devers 3B | BOS  $6 ,2
148,* Jurickson Profar SS | OAK $6 ,2
149,* Jesse Winker RF | CIN  $6 ,2
150,* Jake Bauers 1B | CLE  $6 ,2
151,Dee Gordon 2B | SEA $6 ,2
152,Rougned Odor 2B | TEX $6 ,2
153,* Victor Robles CF | WAS  $6 ,2
154,Shin-Soo Choo DH | TEX  $6 ,2
155,David Peralta LF | ARI  $6 ,2
156,Matt Olson 1B | OAK  $6 ,2
157,* Adam Eaton RF | WAS  $6 ,2
158,* Miguel Cabrera 1B | DET  $6 ,2
159,* Nomar Mazara RF | TEX $6 ,2
160,Cole Hamels SP | CHC $6 ,2
161,* Willy Adames SS | TB  $6 ,2
162,* Stephen Piscotty RF | OAK  $6 ,2
163,Brandon Nimmo RF | NYM  $6 ,2
164,Gregory Polanco RF | PIT  $6 ,2
165,Eric Hosmer 1B | SD $6 ,2
166,Jose Peraza SS | CIN  $6 ,2
167,Cesar Hernandez 2B | PHI  $6 ,2
168,* Jonathan Villar 2B | BAL $5 ,2
169,Elvis Andrus SS | TEX  $5 ,2
170,Ender Inciarte CF | ATL  $5 ,2
171,* Jesus Luzardo SP | OAK  $4 ,2
172,Rick Porcello SP | BOS  $4 ,2
