Rank,Player,Trends,Avg Pick,HI/LO,% Drafted,
98,Wilson Ramos C | NYM, +5,99.51, 56/142,96.3
99,Wil Myers LF | SD , +7,99.55, 54/140,94.3
100,Brad Hand RP | CLE, -11,100.26, 51/164,91.0
101,Nicholas Castellanos RF | DET , +1,100.71, 52/144,94.7
102,Craig Kimbrel RP | BOS , -21,100.78, 59/180,90.6
103,Justin Turner 3B | LAD, +1,100.98, 49/157,94.3
104,Chris Archer SP | PIT , -5,101.19, 58/147,91.8
105,Willson Contreras C | CHC, +3,103.34, 51/146,94.3
106,Nelson Cruz DH | MIN , +3,104.00, 53/154,95.1
107,Sean Doolittle RP | WAS , -27,105.17, 49/194,91.8
108,J.A. Happ SP | NYY, +8,107.09, 62/164,93.5
109,Yadier Molina C | STL , +10,107.77, 52/164,95.9
110,Aaron Hicks CF | NYY , +3,109.40, 59/178,95.1
111,Matt Chapman 3B | OAK , +9,110.11, 50/161,95.9
112,Jesus Aguilar 1B | MIL, -1,112.75, 60/161,93.5
113,Travis Shaw 3B | MIL , -1,113.68, 69/168,93.5
114,Collin McHugh RP | HOU  *, +1,114.74, 41/204,93.5
115,Asdrubal Cabrera 2B | TEX , +14,116.99, 60/191,94.7
116,Shane Bieber SP | CLE , -9,117.04, 73/168,92.7
117,Kyle Hendricks SP | CHC *,,118.53, 75/176,91.0
118,Yasiel Puig RF | CIN *, +8,118.54, 68/162,94.7
119,Mike Foltynewicz SP | ATL , -21,119.05, 65/182,91.4
120,Yasmani Grandal C | MIL , +4,119.71, 68/162,93.5
121,Eloy Jimenez LF | CHW  *, -16,120.28, 58/184,91.0
122,Justin Upton LF | LAA , +1,121.02, 76/162,94.7
123,Andrew McCutchen RF | PHI , +10,121.46, 77/171,95.1
124,Rick Porcello SP | BOS , +8,124.45, 73/168,91.8
125,Nathan Eovaldi SP | BOS  *, +2,126.75, 72/177,93.1
126,Miguel Andujar 3B | NYY *, -5,127.37, 68/198,91.0
127,David Peralta LF | ARI , +10,128.34, 76/173,94.3
128,Brian Dozier 2B | WAS ,,128.50, 74/186,95.1
129,Wade Davis RP | COL, -4,128.64, 70/216,88.2
130,Joey Gallo LF | TEX, +11,129.60, 59/196,93.5
131,Felipe Vazquez RP | PIT , -13,130.40, 76/193,86.5
132,Carlos Santana 1B | CLE, +4,134.54, 60/202,90.2
133,Jose Peraza SS | CIN , +13,135.24, 63/193,91.8
134,Yu Darvish SP | CHC,,135.77, 82/194,89.0
135,Eric Hosmer 1B | SD, +4,136.98, 73/188,92.7
136,Michael Conforto LF | NYM , +8,137.06, 72/188,90.6
137,Brad Keller RP | KC  *, -7,137.41, 59/246,89.0
138,David Dahl LF | COL  *, +4,137.43, 81/195,89.4
139,Mike Moustakas 3B | MIL , +25,139.15, 69/202,91.0
140,Luis Castillo SP | CIN *, -9,139.28, 88/207,83.7
141,David Robertson RP | PHI *, -6,140.83, 77/228,85.7
142,"Salvador Perez C | KC ", -20,142.75, 68/248,31.4
143,Jake Arrieta SP | PHI , +19,143.64, 91/218,91.4
144,Rougned Odor 2B | TEX, +5,143.79, 77/201,90.2
145,Carlos Martinez SP | STL , -31,145.56, 80/207,87.8
146,Dallas Keuchel SP | HOU, -8,145.79, 92/216,89.0
147,Kenta Maeda SP | LAD , +18,147.60, 86/213,89.4
148,Raisel Iglesias RP | CIN, -8,148.76, 84/233,81.6
149,Ryan O'Hearn 1B | KC *, -6,148.94, 62/215,89.4
150,Corey Knebel RP | MIL *, -3,149.62, 80/228,84.9
151,Kyle Freeland SP | COL , -6,149.97, 84/217,83.7
152,Andrew Heaney SP | LAA , -4,150.25, 101/200,90.2
153,Eduardo Rodriguez SP | BOS , -2,154.39, 89/214,87.3
